"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"15.01.2018 17:30 - 15.01.2018 17:45","n/e","n/e","n/e","n/e","3492","n/e","n/e","34090","n/e"
"15.01.2018 17:45 - 15.01.2018 18:00","n/e","n/e","n/e","n/e","3508","n/e","n/e","34567","n/e"
"15.01.2018 18:00 - 15.01.2018 18:15","n/e","n/e","n/e","n/e","3526","n/e","n/e","34887","n/e"
"15.01.2018 18:15 - 15.01.2018 18:30","n/e","n/e","n/e","n/e","3495","n/e","n/e","34975","n/e"
"15.01.2018 18:30 - 15.01.2018 18:45","n/e","n/e","n/e","n/e","3509","n/e","n/e","35080","n/e"
"15.01.2018 18:45 - 15.01.2018 19:00","n/e","n/e","n/e","n/e","3524","n/e","n/e","35338","n/e"
"15.01.2018 19:00 - 15.01.2018 19:15","n/e","n/e","n/e","n/e","3539","n/e","n/e","35485","n/e"
"15.01.2018 19:15 - 15.01.2018 19:30","n/e","n/e","n/e","n/e","3497","n/e","n/e","35522","n/e"
"15.01.2018 19:30 - 15.01.2018 19:45","n/e","n/e","n/e","n/e","3504","n/e","n/e","35720","n/e"
"15.01.2018 19:45 - 15.01.2018 20:00","n/e","n/e","n/e","n/e","3508","n/e","n/e","35852","n/e"
"15.01.2018 20:00 - 15.01.2018 20:15","n/e","n/e","n/e","n/e","3508","n/e","n/e","35891","n/e"
"15.01.2018 20:15 - 15.01.2018 20:30","n/e","n/e","n/e","n/e","3471","n/e","n/e","35956","n/e"
"15.01.2018 20:30 - 15.01.2018 20:45","n/e","n/e","n/e","n/e","3473","n/e","n/e","36009","n/e"
"15.01.2018 20:45 - 15.01.2018 21:00","n/e","n/e","n/e","n/e","3476","n/e","n/e","36071","n/e"
"15.01.2018 21:00 - 15.01.2018 21:15","n/e","n/e","n/e","n/e","3484","n/e","n/e","36047","n/e"
"15.01.2018 21:15 - 15.01.2018 21:30","n/e","n/e","n/e","n/e","3461","n/e","n/e","36002","n/e"
"15.01.2018 21:30 - 15.01.2018 21:45","n/e","n/e","n/e","n/e","3473","n/e","n/e","35952","n/e"
"15.01.2018 21:45 - 15.01.2018 22:00","n/e","n/e","n/e","n/e","3485","n/e","n/e","35902","n/e"
"15.01.2018 22:00 - 15.01.2018 22:15","n/e","n/e","n/e","n/e","3474","n/e","n/e","35818","n/e"
"15.01.2018 22:15 - 15.01.2018 22:30","n/e","n/e","n/e","n/e","3462","n/e","n/e","35572","n/e"
"15.01.2018 22:30 - 15.01.2018 22:45","n/e","n/e","n/e","n/e","3452","n/e","n/e","35317","n/e"
"15.01.2018 22:45 - 15.01.2018 23:00","n/e","n/e","n/e","n/e","3442","n/e","n/e","35057","n/e"
"15.01.2018 23:00 - 15.01.2018 23:15","n/e","n/e","n/e","n/e","3434","n/e","n/e","34813","n/e"
"15.01.2018 23:15 - 15.01.2018 23:30","n/e","n/e","n/e","n/e","3450","n/e","n/e","34586","n/e"
"15.01.2018 23:30 - 15.01.2018 23:45","n/e","n/e","n/e","n/e","3465","n/e","n/e","34362","n/e"
"15.01.2018 23:45 - 16.01.2018 00:00","n/e","n/e","n/e","n/e","3479","n/e","n/e","34145","n/e"
"16.01.2018 00:00 - 16.01.2018 00:15","n/e","n/e","n/e","n/e","3140","n/e","n/e","34420","n/e"
"16.01.2018 00:15 - 16.01.2018 00:30","n/e","n/e","n/e","n/e","3340","n/e","n/e","34170","n/e"
"16.01.2018 00:30 - 16.01.2018 00:45","n/e","n/e","n/e","n/e","3216","n/e","n/e","33986","n/e"
"16.01.2018 00:45 - 16.01.2018 01:00","n/e","n/e","n/e","n/e","3237","n/e","n/e","33805","n/e"
"16.01.2018 01:00 - 16.01.2018 01:15","n/e","n/e","n/e","n/e","3223","n/e","n/e","34530","n/e"
"16.01.2018 01:15 - 16.01.2018 01:30","n/e","n/e","n/e","n/e","3304","n/e","n/e","33903","n/e"
"16.01.2018 01:30 - 16.01.2018 01:45","n/e","n/e","n/e","n/e","3304","n/e","n/e","33913","n/e"
"16.01.2018 01:45 - 16.01.2018 02:00","n/e","n/e","n/e","n/e","3313","n/e","n/e","33404","n/e"
"16.01.2018 02:00 - 16.01.2018 02:15","n/e","n/e","n/e","n/e","3314","n/e","n/e","33188","n/e"
"16.01.2018 02:15 - 16.01.2018 02:30","n/e","n/e","n/e","n/e","3409","n/e","n/e","32940","n/e"
"16.01.2018 02:30 - 16.01.2018 02:45","n/e","n/e","n/e","n/e","3447","n/e","n/e","32913","n/e"
"16.01.2018 02:45 - 16.01.2018 03:00","n/e","n/e","n/e","n/e","3465","n/e","n/e","32437","n/e"
"16.01.2018 03:00 - 16.01.2018 03:15","n/e","n/e","n/e","n/e","3450","n/e","n/e","31792","n/e"
"16.01.2018 03:15 - 16.01.2018 03:30","n/e","n/e","n/e","n/e","3473","n/e","n/e","31412","n/e"
"16.01.2018 03:30 - 16.01.2018 03:45","n/e","n/e","n/e","n/e","3481","n/e","n/e","30877","n/e"
"16.01.2018 03:45 - 16.01.2018 04:00","n/e","n/e","n/e","n/e","3454","n/e","n/e","30455","n/e"
"16.01.2018 04:00 - 16.01.2018 04:15","n/e","n/e","n/e","n/e","3499","n/e","n/e","30136","n/e"
"16.01.2018 04:15 - 16.01.2018 04:30","n/e","n/e","n/e","n/e","3466","n/e","n/e","29510","n/e"
"16.01.2018 04:30 - 16.01.2018 04:45","n/e","n/e","n/e","n/e","3443","n/e","n/e","28957","n/e"
"16.01.2018 04:45 - 16.01.2018 05:00","n/e","n/e","n/e","n/e","3411","n/e","n/e","28560","n/e"
"16.01.2018 05:00 - 16.01.2018 05:15","n/e","n/e","n/e","n/e","3425","n/e","n/e","28322","n/e"
"16.01.2018 05:15 - 16.01.2018 05:30","n/e","n/e","n/e","n/e","3414","n/e","n/e","27859","n/e"
"16.01.2018 05:30 - 16.01.2018 05:45","n/e","n/e","n/e","n/e","3363","n/e","n/e","27393","n/e"
"16.01.2018 05:45 - 16.01.2018 06:00","n/e","n/e","n/e","n/e","3268","n/e","n/e","26922","n/e"
"16.01.2018 06:00 - 16.01.2018 06:15","n/e","n/e","n/e","n/e","3746","n/e","n/e","26401","n/e"
"16.01.2018 06:15 - 16.01.2018 06:30","n/e","n/e","n/e","n/e","3962","n/e","n/e","26111","n/e"
"16.01.2018 06:30 - 16.01.2018 06:45","n/e","n/e","n/e","n/e","3969","n/e","n/e","25843","n/e"
"16.01.2018 06:45 - 16.01.2018 07:00","n/e","n/e","n/e","n/e","3987","n/e","n/e","25347","n/e"
"16.01.2018 07:00 - 16.01.2018 07:15","n/e","n/e","n/e","n/e","3898","n/e","n/e","24845","n/e"
"16.01.2018 07:15 - 16.01.2018 07:30","n/e","n/e","n/e","n/e","3710","n/e","n/e","24508","n/e"
"16.01.2018 07:30 - 16.01.2018 07:45","n/e","n/e","n/e","n/e","3696","n/e","n/e","24282","n/e"
"16.01.2018 07:45 - 16.01.2018 08:00","n/e","n/e","n/e","n/e","3660","n/e","n/e","24216","n/e"
"16.01.2018 08:00 - 16.01.2018 08:15","n/e","n/e","n/e","n/e","3667","n/e","n/e","24121","n/e"
"16.01.2018 08:15 - 16.01.2018 08:30","n/e","n/e","n/e","n/e","3629","n/e","n/e","24036","n/e"
"16.01.2018 08:30 - 16.01.2018 08:45","n/e","n/e","n/e","n/e","3532","n/e","n/e","23891","n/e"
"16.01.2018 08:45 - 16.01.2018 09:00","n/e","n/e","n/e","n/e","3618","n/e","n/e","23927","n/e"
"16.01.2018 09:00 - 16.01.2018 09:15","n/e","n/e","n/e","n/e","3598","n/e","n/e","23960","n/e"
"16.01.2018 09:15 - 16.01.2018 09:30","n/e","n/e","n/e","n/e","3491","n/e","n/e","23943","n/e"
"16.01.2018 09:30 - 16.01.2018 09:45","n/e","n/e","n/e","n/e","3553","n/e","n/e","23984","n/e"
"16.01.2018 09:45 - 16.01.2018 10:00","n/e","n/e","n/e","n/e","3569","n/e","n/e","24078","n/e"
"16.01.2018 10:00 - 16.01.2018 10:15","n/e","n/e","n/e","n/e","3510","n/e","n/e","24471","n/e"
"16.01.2018 10:15 - 16.01.2018 10:30","n/e","n/e","n/e","n/e","3563","n/e","n/e","24164","n/e"
"16.01.2018 10:30 - 16.01.2018 10:45","n/e","n/e","n/e","n/e","3459","n/e","n/e","24035","n/e"
"16.01.2018 10:45 - 16.01.2018 11:00","n/e","n/e","n/e","n/e","3395","n/e","n/e","24067","n/e"
"16.01.2018 11:00 - 16.01.2018 11:15","n/e","n/e","n/e","n/e","3495","n/e","n/e","24088","n/e"
"16.01.2018 11:15 - 16.01.2018 11:30","n/e","n/e","n/e","n/e","3467","n/e","n/e","24260","n/e"
"16.01.2018 11:30 - 16.01.2018 11:45","n/e","n/e","n/e","n/e","3480","n/e","n/e","24583","n/e"
"16.01.2018 11:45 - 16.01.2018 12:00","n/e","n/e","n/e","n/e","3514","n/e","n/e","24601","n/e"
"16.01.2018 12:00 - 16.01.2018 12:15","n/e","n/e","n/e","n/e","3560","n/e","n/e","24501","n/e"
"16.01.2018 12:15 - 16.01.2018 12:30","n/e","n/e","n/e","n/e","3590","n/e","n/e","24408","n/e"
"16.01.2018 12:30 - 16.01.2018 12:45","n/e","n/e","n/e","n/e","3621","n/e","n/e","24255","n/e"
"16.01.2018 12:45 - 16.01.2018 13:00","n/e","n/e","n/e","n/e","3538","n/e","n/e","24165","n/e"
"16.01.2018 13:00 - 16.01.2018 13:15","n/e","n/e","n/e","n/e","3470","n/e","n/e","23964","n/e"
"16.01.2018 13:15 - 16.01.2018 13:30","n/e","n/e","n/e","n/e","3607","n/e","n/e","24089","n/e"
"16.01.2018 13:30 - 16.01.2018 13:45","n/e","n/e","n/e","n/e","3507","n/e","n/e","23932","n/e"
"16.01.2018 13:45 - 16.01.2018 14:00","n/e","n/e","n/e","n/e","3524","n/e","n/e","23677","n/e"
"16.01.2018 14:00 - 16.01.2018 14:15","n/e","n/e","n/e","n/e","3648","n/e","n/e","23381","n/e"
"16.01.2018 14:15 - 16.01.2018 14:30","n/e","n/e","n/e","n/e","3555","n/e","n/e","23466","n/e"
"16.01.2018 14:30 - 16.01.2018 14:45","n/e","n/e","n/e","n/e","3549","n/e","n/e","23502","n/e"
"16.01.2018 14:45 - 16.01.2018 15:00","n/e","n/e","n/e","n/e","3505","n/e","n/e","23798","n/e"
"16.01.2018 15:00 - 16.01.2018 15:15","n/e","n/e","n/e","n/e","3515","n/e","n/e","24028","n/e"
"16.01.2018 15:15 - 16.01.2018 15:30","n/e","n/e","n/e","n/e","3456","n/e","n/e","24296","n/e"
"16.01.2018 15:30 - 16.01.2018 15:45","n/e","n/e","n/e","n/e","3343","n/e","n/e","24537","n/e"
"16.01.2018 15:45 - 16.01.2018 16:00","n/e","n/e","n/e","n/e","3558","n/e","n/e","24215","n/e"
"16.01.2018 16:00 - 16.01.2018 16:15","n/e","n/e","n/e","n/e","3584","n/e","n/e","24173","n/e"
"16.01.2018 16:15 - 16.01.2018 16:30","n/e","n/e","n/e","n/e","3526","n/e","n/e","24221","n/e"
"16.01.2018 16:30 - 16.01.2018 16:45","n/e","n/e","n/e","n/e","3541","n/e","n/e","24289","n/e"
"16.01.2018 16:45 - 16.01.2018 17:00","n/e","n/e","n/e","n/e","3575","n/e","n/e","24415","n/e"
"16.01.2018 17:00 - 16.01.2018 17:15","n/e","n/e","n/e","n/e","3570","n/e","n/e","24406","n/e"
"16.01.2018 17:15 - 16.01.2018 17:30","n/e","n/e","n/e","n/e","3635","n/e","n/e","24615","n/e"
"16.01.2018 17:30 - 16.01.2018 17:45","n/e","n/e","n/e","n/e","3528","n/e","n/e","24746","n/e"
"16.01.2018 17:45 - 16.01.2018 18:00","n/e","n/e","n/e","n/e","3584","n/e","n/e","24648","n/e"
"16.01.2018 18:00 - 16.01.2018 18:15","n/e","n/e","n/e","n/e","3577","n/e","n/e","24728","n/e"
"16.01.2018 18:15 - 16.01.2018 18:30","n/e","n/e","n/e","n/e","3626","n/e","n/e","24573","n/e"
"16.01.2018 18:30 - 16.01.2018 18:45","n/e","n/e","n/e","n/e","3728","n/e","n/e","24309","n/e"
"16.01.2018 18:45 - 16.01.2018 19:00","n/e","n/e","n/e","n/e","3591","n/e","n/e","24216","n/e"
"16.01.2018 19:00 - 16.01.2018 19:15","n/e","n/e","n/e","n/e","3599","n/e","n/e","24297","n/e"
"16.01.2018 19:15 - 16.01.2018 19:30","n/e","n/e","n/e","n/e","3844","n/e","n/e","23931","n/e"
"16.01.2018 19:30 - 16.01.2018 19:45","n/e","n/e","n/e","n/e","3767","n/e","n/e","23923","n/e"
"16.01.2018 19:45 - 16.01.2018 20:00","n/e","n/e","n/e","n/e","3700","n/e","n/e","23832","n/e"
"16.01.2018 20:00 - 16.01.2018 20:15","n/e","n/e","n/e","n/e","3700","n/e","n/e","23628","n/e"
"16.01.2018 20:15 - 16.01.2018 20:30","n/e","n/e","n/e","n/e","3560","n/e","n/e","23577","n/e"
"16.01.2018 20:30 - 16.01.2018 20:45","n/e","n/e","n/e","n/e","3547","n/e","n/e","23483","n/e"
"16.01.2018 20:45 - 16.01.2018 21:00","n/e","n/e","n/e","n/e","3507","n/e","n/e","23399","n/e"
"16.01.2018 21:00 - 16.01.2018 21:15","n/e","n/e","n/e","n/e","3463","n/e","n/e","23236","n/e"
"16.01.2018 21:15 - 16.01.2018 21:30","n/e","n/e","n/e","n/e","3486","n/e","n/e","23169","n/e"
"16.01.2018 21:30 - 16.01.2018 21:45","n/e","n/e","n/e","n/e","3453","n/e","n/e","23103","n/e"
"16.01.2018 21:45 - 16.01.2018 22:00","n/e","n/e","n/e","n/e","3552","n/e","n/e","23035","n/e"
"16.01.2018 22:00 - 16.01.2018 22:15","n/e","n/e","n/e","n/e","3547","n/e","n/e","22942","n/e"
"16.01.2018 22:15 - 16.01.2018 22:30","n/e","n/e","n/e","n/e","3501","n/e","n/e","22763","n/e"
"16.01.2018 22:30 - 16.01.2018 22:45","n/e","n/e","n/e","n/e","3457","n/e","n/e","22582","n/e"
"16.01.2018 22:45 - 16.01.2018 23:00","n/e","n/e","n/e","n/e","3415","n/e","n/e","22400","n/e"
"16.01.2018 23:00 - 16.01.2018 23:15","n/e","n/e","n/e","n/e","3373","n/e","n/e","22248","n/e"
"16.01.2018 23:15 - 16.01.2018 23:30","n/e","n/e","n/e","n/e","3355","n/e","n/e","22159","n/e"
"16.01.2018 23:30 - 16.01.2018 23:45","n/e","n/e","n/e","n/e","3336","n/e","n/e","22078","n/e"
"16.01.2018 23:45 - 17.01.2018 00:00","n/e","n/e","n/e","n/e","3314","n/e","n/e","21991","n/e"
"17.01.2018 00:00 - 17.01.2018 00:15","n/e","n/e","n/e","n/e","3420","n/e","n/e","22362","n/e"
"17.01.2018 00:15 - 17.01.2018 00:30","n/e","n/e","n/e","n/e","3119","n/e","n/e","22298","n/e"
"17.01.2018 00:30 - 17.01.2018 00:45","n/e","n/e","n/e","n/e","3079","n/e","n/e","22207","n/e"
"17.01.2018 00:45 - 17.01.2018 01:00","n/e","n/e","n/e","n/e","3078","n/e","n/e","22000","n/e"
"17.01.2018 01:00 - 17.01.2018 01:15","n/e","n/e","n/e","n/e","2937","n/e","n/e","19709","n/e"
"17.01.2018 01:15 - 17.01.2018 01:30","n/e","n/e","n/e","n/e","2559","n/e","n/e","20160","n/e"
"17.01.2018 01:30 - 17.01.2018 01:45","n/e","n/e","n/e","n/e","2516","n/e","n/e","19655","n/e"
"17.01.2018 01:45 - 17.01.2018 02:00","n/e","n/e","n/e","n/e","2510","n/e","n/e","19295","n/e"
"17.01.2018 02:00 - 17.01.2018 02:15","n/e","n/e","n/e","n/e","2562","n/e","n/e","19383","n/e"
"17.01.2018 02:15 - 17.01.2018 02:30","n/e","n/e","n/e","n/e","2537","n/e","n/e","19327","n/e"
"17.01.2018 02:30 - 17.01.2018 02:45","n/e","n/e","n/e","n/e","2430","n/e","n/e","19107","n/e"
"17.01.2018 02:45 - 17.01.2018 03:00","n/e","n/e","n/e","n/e","2206","n/e","n/e","18897","n/e"
"17.01.2018 03:00 - 17.01.2018 03:15","n/e","n/e","n/e","n/e","1944","n/e","n/e","19150","n/e"
"17.01.2018 03:15 - 17.01.2018 03:30","n/e","n/e","n/e","n/e","2007","n/e","n/e","18887","n/e"
"17.01.2018 03:30 - 17.01.2018 03:45","n/e","n/e","n/e","n/e","1934","n/e","n/e","19186","n/e"
"17.01.2018 03:45 - 17.01.2018 04:00","n/e","n/e","n/e","n/e","2218","n/e","n/e","19361","n/e"
"17.01.2018 04:00 - 17.01.2018 04:15","n/e","n/e","n/e","n/e","2658","n/e","n/e","19328","n/e"
"17.01.2018 04:15 - 17.01.2018 04:30","n/e","n/e","n/e","n/e","2639","n/e","n/e","19389","n/e"
"17.01.2018 04:30 - 17.01.2018 04:45","n/e","n/e","n/e","n/e","2519","n/e","n/e","19449","n/e"
"17.01.2018 04:45 - 17.01.2018 05:00","n/e","n/e","n/e","n/e","2441","n/e","n/e","19514","n/e"
"17.01.2018 05:00 - 17.01.2018 05:15","n/e","n/e","n/e","n/e","2321","n/e","n/e","19594","n/e"
"17.01.2018 05:15 - 17.01.2018 05:30","n/e","n/e","n/e","n/e","2280","n/e","n/e","19697","n/e"
"17.01.2018 05:30 - 17.01.2018 05:45","n/e","n/e","n/e","n/e","2445","n/e","n/e","19784","n/e"
"17.01.2018 05:45 - 17.01.2018 06:00","n/e","n/e","n/e","n/e","2632","n/e","n/e","19879","n/e"
"17.01.2018 06:00 - 17.01.2018 06:15","n/e","n/e","n/e","n/e","2932","n/e","n/e","20024","n/e"
"17.01.2018 06:15 - 17.01.2018 06:30","n/e","n/e","n/e","n/e","2864","n/e","n/e","20166","n/e"
"17.01.2018 06:30 - 17.01.2018 06:45","n/e","n/e","n/e","n/e","2949","n/e","n/e","20092","n/e"
"17.01.2018 06:45 - 17.01.2018 07:00","n/e","n/e","n/e","n/e","3059","n/e","n/e","20129","n/e"
"17.01.2018 07:00 - 17.01.2018 07:15","n/e","n/e","n/e","n/e","3035","n/e","n/e","20215","n/e"
"17.01.2018 07:15 - 17.01.2018 07:30","n/e","n/e","n/e","n/e","3031","n/e","n/e","20385","n/e"
"17.01.2018 07:30 - 17.01.2018 07:45","n/e","n/e","n/e","n/e","2959","n/e","n/e","20526","n/e"
"17.01.2018 07:45 - 17.01.2018 08:00","n/e","n/e","n/e","n/e","2945","n/e","n/e","20668","n/e"
"17.01.2018 08:00 - 17.01.2018 08:15","n/e","n/e","n/e","n/e","3077","n/e","n/e","20914","n/e"
"17.01.2018 08:15 - 17.01.2018 08:30","n/e","n/e","n/e","n/e","3135","n/e","n/e","21189","n/e"
"17.01.2018 08:30 - 17.01.2018 08:45","n/e","n/e","n/e","n/e","3184","n/e","n/e","21480","n/e"
"17.01.2018 08:45 - 17.01.2018 09:00","n/e","n/e","n/e","n/e","3160","n/e","n/e","21764","n/e"
"17.01.2018 09:00 - 17.01.2018 09:15","n/e","n/e","n/e","n/e","3237","n/e","n/e","22031","n/e"
"17.01.2018 09:15 - 17.01.2018 09:30","n/e","n/e","n/e","n/e","3406","n/e","n/e","22380","n/e"
"17.01.2018 09:30 - 17.01.2018 09:45","n/e","n/e","n/e","n/e","3338","n/e","n/e","22735","n/e"
"17.01.2018 09:45 - 17.01.2018 10:00","n/e","n/e","n/e","n/e","3325","n/e","n/e","23025","n/e"
"17.01.2018 10:00 - 17.01.2018 10:15","n/e","n/e","n/e","n/e","3298","n/e","n/e","23940","n/e"
"17.01.2018 10:15 - 17.01.2018 10:30","n/e","n/e","n/e","n/e","3295","n/e","n/e","24299","n/e"
"17.01.2018 10:30 - 17.01.2018 10:45","n/e","n/e","n/e","n/e","3280","n/e","n/e","24659","n/e"
"17.01.2018 10:45 - 17.01.2018 11:00","n/e","n/e","n/e","n/e","3190","n/e","n/e","25015","n/e"
"17.01.2018 11:00 - 17.01.2018 11:15","n/e","n/e","n/e","n/e","3116","n/e","n/e","25359","n/e"
"17.01.2018 11:15 - 17.01.2018 11:30","n/e","n/e","n/e","n/e","3126","n/e","n/e","25755","n/e"
"17.01.2018 11:30 - 17.01.2018 11:45","n/e","n/e","n/e","n/e","3132","n/e","n/e","26165","n/e"
"17.01.2018 11:45 - 17.01.2018 12:00","n/e","n/e","n/e","n/e","3035","n/e","n/e","26572","n/e"
"17.01.2018 12:00 - 17.01.2018 12:15","n/e","n/e","n/e","n/e","2943","n/e","n/e","26961","n/e"
"17.01.2018 12:15 - 17.01.2018 12:30","n/e","n/e","n/e","n/e","2923","n/e","n/e","27263","n/e"
"17.01.2018 12:30 - 17.01.2018 12:45","n/e","n/e","n/e","n/e","3018","n/e","n/e","27560","n/e"
"17.01.2018 12:45 - 17.01.2018 13:00","n/e","n/e","n/e","n/e","3096","n/e","n/e","27850","n/e"
"17.01.2018 13:00 - 17.01.2018 13:15","n/e","n/e","n/e","n/e","3112","n/e","n/e","28088","n/e"
"17.01.2018 13:15 - 17.01.2018 13:30","n/e","n/e","n/e","n/e","3116","n/e","n/e","28019","n/e"
"17.01.2018 13:30 - 17.01.2018 13:45","n/e","n/e","n/e","n/e","3145","n/e","n/e","27948","n/e"
"17.01.2018 13:45 - 17.01.2018 14:00","n/e","n/e","n/e","n/e","3186","n/e","n/e","27859","n/e"
"17.01.2018 14:00 - 17.01.2018 14:15","n/e","n/e","n/e","n/e","3238","n/e","n/e","27745","n/e"
"17.01.2018 14:15 - 17.01.2018 14:30","n/e","n/e","n/e","n/e","3254","n/e","n/e","27668","n/e"
"17.01.2018 14:30 - 17.01.2018 14:45","n/e","n/e","n/e","n/e","3287","n/e","n/e","27613","n/e"
"17.01.2018 14:45 - 17.01.2018 15:00","n/e","n/e","n/e","n/e","3286","n/e","n/e","27558","n/e"
"17.01.2018 15:00 - 17.01.2018 15:15","n/e","n/e","n/e","n/e","3385","n/e","n/e","27499","n/e"
"17.01.2018 15:15 - 17.01.2018 15:30","n/e","n/e","n/e","n/e","3475","n/e","n/e","27445","n/e"
"17.01.2018 15:30 - 17.01.2018 15:45","n/e","n/e","n/e","n/e","3550","n/e","n/e","27379","n/e"
"17.01.2018 15:45 - 17.01.2018 16:00","n/e","n/e","n/e","n/e","3743","n/e","n/e","27317","n/e"
"17.01.2018 16:00 - 17.01.2018 16:15","n/e","n/e","n/e","n/e","3739","n/e","n/e","27271","n/e"
"17.01.2018 16:15 - 17.01.2018 16:30","n/e","n/e","n/e","n/e","3754","n/e","n/e","27236","n/e"
"17.01.2018 16:30 - 17.01.2018 16:45","n/e","n/e","n/e","n/e","3852","n/e","n/e","27194","n/e"
"17.01.2018 16:45 - 17.01.2018 17:00","n/e","n/e","n/e","n/e","3897","n/e","n/e","27150","n/e"
"17.01.2018 17:00 - 17.01.2018 17:15","n/e","n/e","n/e","n/e","3950","n/e","n/e","27100","n/e"
"17.01.2018 17:15 - 17.01.2018 17:30","n/e","n/e","n/e","n/e","4067","n/e","n/e","27048","n/e"
"17.01.2018 17:30 - 17.01.2018 17:45","n/e","n/e","n/e","n/e","4050","n/e","n/e","26988","n/e"
"17.01.2018 17:45 - 17.01.2018 18:00","n/e","n/e","n/e","n/e","3986","n/e","n/e","26932","n/e"
"17.01.2018 18:00 - 17.01.2018 18:15","n/e","n/e","n/e","n/e","3957","n/e","n/e","26877","n/e"
"17.01.2018 18:15 - 17.01.2018 18:30","n/e","n/e","n/e","n/e","3941","n/e","n/e","26835","n/e"
"17.01.2018 18:30 - 17.01.2018 18:45","n/e","n/e","n/e","n/e","3869","n/e","n/e","26796","n/e"
"17.01.2018 18:45 - 17.01.2018 19:00","n/e","n/e","n/e","n/e","3841","n/e","n/e","26754","n/e"
"17.01.2018 19:00 - 17.01.2018 19:15","n/e","n/e","n/e","n/e","3946","n/e","n/e","26713","n/e"
"17.01.2018 19:15 - 17.01.2018 19:30","n/e","n/e","n/e","n/e","4075","n/e","n/e","26684","n/e"
"17.01.2018 19:30 - 17.01.2018 19:45","n/e","n/e","n/e","n/e","4089","n/e","n/e","26648","n/e"
"17.01.2018 19:45 - 17.01.2018 20:00","n/e","n/e","n/e","n/e","4076","n/e","n/e","26611","n/e"
"17.01.2018 20:00 - 17.01.2018 20:15","n/e","n/e","n/e","n/e","4055","n/e","n/e","26562","n/e"
"17.01.2018 20:15 - 17.01.2018 20:30","n/e","n/e","n/e","n/e","3990","n/e","n/e","26613","n/e"
"17.01.2018 20:30 - 17.01.2018 20:45","n/e","n/e","n/e","n/e","4016","n/e","n/e","26675","n/e"
"17.01.2018 20:45 - 17.01.2018 21:00","n/e","n/e","n/e","n/e","4014","n/e","n/e","26735","n/e"
"17.01.2018 21:00 - 17.01.2018 21:15","n/e","n/e","n/e","n/e","3948","n/e","n/e","26798","n/e"
"17.01.2018 21:15 - 17.01.2018 21:30","n/e","n/e","n/e","n/e","3871","n/e","n/e","26845","n/e"
"17.01.2018 21:30 - 17.01.2018 21:45","n/e","n/e","n/e","n/e","3842","n/e","n/e","26897","n/e"
"17.01.2018 21:45 - 17.01.2018 22:00","n/e","n/e","n/e","n/e","3901","n/e","n/e","26953","n/e"
"17.01.2018 22:00 - 17.01.2018 22:15","n/e","n/e","n/e","n/e","3883","n/e","n/e","26997","n/e"
"17.01.2018 22:15 - 17.01.2018 22:30","n/e","n/e","n/e","n/e","3872","n/e","n/e","27040","n/e"
"17.01.2018 22:30 - 17.01.2018 22:45","n/e","n/e","n/e","n/e","3864","n/e","n/e","27089","n/e"
"17.01.2018 22:45 - 17.01.2018 23:00","n/e","n/e","n/e","n/e","3849","n/e","n/e","27132","n/e"
"17.01.2018 23:00 - 17.01.2018 23:15","n/e","n/e","n/e","n/e","3849","n/e","n/e","27146","n/e"
"17.01.2018 23:15 - 17.01.2018 23:30","n/e","n/e","n/e","n/e","3820","n/e","n/e","27147","n/e"
"17.01.2018 23:30 - 17.01.2018 23:45","n/e","n/e","n/e","n/e","3796","n/e","n/e","27143","n/e"
"17.01.2018 23:45 - 18.01.2018 00:00","n/e","n/e","n/e","n/e","3771","n/e","n/e","27146","n/e"
"18.01.2018 00:00 - 18.01.2018 00:15","n/e","n/e","n/e","n/e","3823","n/e","n/e","27268","n/e"
"18.01.2018 00:15 - 18.01.2018 00:30","n/e","n/e","n/e","n/e","3842","n/e","n/e","27251","n/e"
"18.01.2018 00:30 - 18.01.2018 00:45","n/e","n/e","n/e","n/e","3829","n/e","n/e","27161","n/e"
"18.01.2018 00:45 - 18.01.2018 01:00","n/e","n/e","n/e","n/e","3719","n/e","n/e","26963","n/e"
"18.01.2018 01:00 - 18.01.2018 01:15","n/e","n/e","n/e","n/e","3669","n/e","n/e","25807","n/e"
"18.01.2018 01:15 - 18.01.2018 01:30","n/e","n/e","n/e","n/e","3692","n/e","n/e","25929","n/e"
"18.01.2018 01:30 - 18.01.2018 01:45","n/e","n/e","n/e","n/e","3626","n/e","n/e","25855","n/e"
"18.01.2018 01:45 - 18.01.2018 02:00","n/e","n/e","n/e","n/e","3582","n/e","n/e","25979","n/e"
"18.01.2018 02:00 - 18.01.2018 02:15","n/e","n/e","n/e","n/e","3537","n/e","n/e","25718","n/e"
"18.01.2018 02:15 - 18.01.2018 02:30","n/e","n/e","n/e","n/e","3509","n/e","n/e","25329","n/e"
