"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"18.01.2018 12:45 - 18.01.2018 13:00","84759","88852"
"18.01.2018 13:00 - 18.01.2018 13:15","84636","88523"
"18.01.2018 13:15 - 18.01.2018 13:30","84380","88034"
"18.01.2018 13:30 - 18.01.2018 13:45","83998","87610"
"18.01.2018 13:45 - 18.01.2018 14:00","83237","86506"
"18.01.2018 14:00 - 18.01.2018 14:15","83222","85987"
"18.01.2018 14:15 - 18.01.2018 14:30","82841","85804"
"18.01.2018 14:30 - 18.01.2018 14:45","82888","85570"
"18.01.2018 14:45 - 18.01.2018 15:00","82709","85263"
"18.01.2018 15:00 - 18.01.2018 15:15","82332","85003"
"18.01.2018 15:15 - 18.01.2018 15:30","82751","84307"
"18.01.2018 15:30 - 18.01.2018 15:45","82516","83905"
"18.01.2018 15:45 - 18.01.2018 16:00","82160","83635"
"18.01.2018 16:00 - 18.01.2018 16:15","82484","83490"
"18.01.2018 16:15 - 18.01.2018 16:30","81993","83611"
"18.01.2018 16:30 - 18.01.2018 16:45","81757","84058"
"18.01.2018 16:45 - 18.01.2018 17:00","83432","85057"
"18.01.2018 17:00 - 18.01.2018 17:15","84526","86205"
"18.01.2018 17:15 - 18.01.2018 17:30","85403","87732"
"18.01.2018 17:30 - 18.01.2018 17:45","86208","88699"
"18.01.2018 17:45 - 18.01.2018 18:00","86405","88775"
"18.01.2018 18:00 - 18.01.2018 18:15","85932","88299"
"18.01.2018 18:15 - 18.01.2018 18:30","85676","87830"
"18.01.2018 18:30 - 18.01.2018 18:45","85483","87765"
"18.01.2018 18:45 - 18.01.2018 19:00","85328","87250"
"18.01.2018 19:00 - 18.01.2018 19:15","84620","86633"
"18.01.2018 19:15 - 18.01.2018 19:30","83947","85698"
"18.01.2018 19:30 - 18.01.2018 19:45","83248","84904"
"18.01.2018 19:45 - 18.01.2018 20:00","82328","84286"
"18.01.2018 20:00 - 18.01.2018 20:15","80918","82700"
"18.01.2018 20:15 - 18.01.2018 20:30","79311","81014"
"18.01.2018 20:30 - 18.01.2018 20:45","78011","79856"
"18.01.2018 20:45 - 18.01.2018 21:00","77014","78667"
"18.01.2018 21:00 - 18.01.2018 21:15","75707","77622"
"18.01.2018 21:15 - 18.01.2018 21:30","75087","76649"
"18.01.2018 21:30 - 18.01.2018 21:45","74529","75573"
"18.01.2018 21:45 - 18.01.2018 22:00","73564","74399"
"18.01.2018 22:00 - 18.01.2018 22:15","73770","74120"
"18.01.2018 22:15 - 18.01.2018 22:30","73040","73113"
"18.01.2018 22:30 - 18.01.2018 22:45","71871","71484"
"18.01.2018 22:45 - 18.01.2018 23:00","70463","69971"
"18.01.2018 23:00 - 18.01.2018 23:15","68910","68314"
"18.01.2018 23:15 - 18.01.2018 23:30","67738","66894"
"18.01.2018 23:30 - 18.01.2018 23:45","66638","65626"
"18.01.2018 23:45 - 19.01.2018 00:00","65648","64708"
"19.01.2018 00:00 - 19.01.2018 00:15","64966","63948"
"19.01.2018 00:15 - 19.01.2018 00:30","64197","62761"
"19.01.2018 00:30 - 19.01.2018 00:45","63470","61910"
"19.01.2018 00:45 - 19.01.2018 01:00","62673","60888"
"19.01.2018 01:00 - 19.01.2018 01:15","62021","60359"
"19.01.2018 01:15 - 19.01.2018 01:30","61527","59575"
"19.01.2018 01:30 - 19.01.2018 01:45","61123","59359"
"19.01.2018 01:45 - 19.01.2018 02:00","60768","59142"
"19.01.2018 02:00 - 19.01.2018 02:15","60290","59013"
"19.01.2018 02:15 - 19.01.2018 02:30","60145","58703"
"19.01.2018 02:30 - 19.01.2018 02:45","60288","58853"
"19.01.2018 02:45 - 19.01.2018 03:00","60206","58659"
"19.01.2018 03:00 - 19.01.2018 03:15","60227","58816"
"19.01.2018 03:15 - 19.01.2018 03:30","60177","58789"
"19.01.2018 03:30 - 19.01.2018 03:45","60370","58997"
"19.01.2018 03:45 - 19.01.2018 04:00","60487","59126"
"19.01.2018 04:00 - 19.01.2018 04:15","61075","59878"
"19.01.2018 04:15 - 19.01.2018 04:30","61299","60051"
"19.01.2018 04:30 - 19.01.2018 04:45","61770","60441"
"19.01.2018 04:45 - 19.01.2018 05:00","62375","60969"
"19.01.2018 05:00 - 19.01.2018 05:15","63756","62692"
"19.01.2018 05:15 - 19.01.2018 05:30","64408","63420"
"19.01.2018 05:30 - 19.01.2018 05:45","65693","64649"
"19.01.2018 05:45 - 19.01.2018 06:00","67087","66338"
"19.01.2018 06:00 - 19.01.2018 06:15","69767","69458"
"19.01.2018 06:15 - 19.01.2018 06:30","72307","72184"
"19.01.2018 06:30 - 19.01.2018 06:45","74329","74429"
"19.01.2018 06:45 - 19.01.2018 07:00","76327","76611"
"19.01.2018 07:00 - 19.01.2018 07:15","78642","78677"
"19.01.2018 07:15 - 19.01.2018 07:30","79955","80375"
"19.01.2018 07:30 - 19.01.2018 07:45","81076","81726"
"19.01.2018 07:45 - 19.01.2018 08:00","81932","82601"
"19.01.2018 08:00 - 19.01.2018 08:15","82910","83428"
"19.01.2018 08:15 - 19.01.2018 08:30","83007","83744"
"19.01.2018 08:30 - 19.01.2018 08:45","83374","83940"
"19.01.2018 08:45 - 19.01.2018 09:00","83526","84001"
"19.01.2018 09:00 - 19.01.2018 09:15","83373","83955"
"19.01.2018 09:15 - 19.01.2018 09:30","83366","84051"
"19.01.2018 09:30 - 19.01.2018 09:45","83690","84306"
"19.01.2018 09:45 - 19.01.2018 10:00","83999","84255"
"19.01.2018 10:00 - 19.01.2018 10:15","84196","84295"
"19.01.2018 10:15 - 19.01.2018 10:30","84346","84274"
"19.01.2018 10:30 - 19.01.2018 10:45","84714","84725"
"19.01.2018 10:45 - 19.01.2018 11:00","84798","84716"
"19.01.2018 11:00 - 19.01.2018 11:15","84823","84813"
"19.01.2018 11:15 - 19.01.2018 11:30","84923","84818"
"19.01.2018 11:30 - 19.01.2018 11:45","84935","84767"
"19.01.2018 11:45 - 19.01.2018 12:00","85155","84312"
"19.01.2018 12:00 - 19.01.2018 12:15","84267","84026"
"19.01.2018 12:15 - 19.01.2018 12:30","84130","83900"
"19.01.2018 12:30 - 19.01.2018 12:45","83851","83938"
"19.01.2018 12:45 - 19.01.2018 13:00","83722","83197"
"19.01.2018 13:00 - 19.01.2018 13:15","83431","83107"
"19.01.2018 13:15 - 19.01.2018 13:30","83012","82476"
"19.01.2018 13:30 - 19.01.2018 13:45","82386","81754"
"19.01.2018 13:45 - 19.01.2018 14:00","81747","80792"
"19.01.2018 14:00 - 19.01.2018 14:15","81394","80937"
"19.01.2018 14:15 - 19.01.2018 14:30","81097","80418"
"19.01.2018 14:30 - 19.01.2018 14:45","80907","80320"
"19.01.2018 14:45 - 19.01.2018 15:00","80714","79822"
"19.01.2018 15:00 - 19.01.2018 15:15","80076","79773"
"19.01.2018 15:15 - 19.01.2018 15:30","80238","79339"
"19.01.2018 15:30 - 19.01.2018 15:45","80078","79170"
"19.01.2018 15:45 - 19.01.2018 16:00","80084","78805"
"19.01.2018 16:00 - 19.01.2018 16:15","80412","79234"
"19.01.2018 16:15 - 19.01.2018 16:30","80175","79291"
"19.01.2018 16:30 - 19.01.2018 16:45","79623","79666"
"19.01.2018 16:45 - 19.01.2018 17:00","81389","80593"
"19.01.2018 17:00 - 19.01.2018 17:15","82600","81982"
"19.01.2018 17:15 - 19.01.2018 17:30","83599","82989"
"19.01.2018 17:30 - 19.01.2018 17:45","84220","83550"
"19.01.2018 17:45 - 19.01.2018 18:00","84478","83748"
"19.01.2018 18:00 - 19.01.2018 18:15","84148","83303"
"19.01.2018 18:15 - 19.01.2018 18:30","83772","82782"
"19.01.2018 18:30 - 19.01.2018 18:45","83514","82583"
"19.01.2018 18:45 - 19.01.2018 19:00","83212","82449"
"19.01.2018 19:00 - 19.01.2018 19:15","82421","81983"
"19.01.2018 19:15 - 19.01.2018 19:30","81592","80850"
"19.01.2018 19:30 - 19.01.2018 19:45","80937","79847"
"19.01.2018 19:45 - 19.01.2018 20:00","80140","79071"
"19.01.2018 20:00 - 19.01.2018 20:15","78564","77665"
"19.01.2018 20:15 - 19.01.2018 20:30","77165","76290"
"19.01.2018 20:30 - 19.01.2018 20:45","75893","75008"
"19.01.2018 20:45 - 19.01.2018 21:00","74805","73984"
"19.01.2018 21:00 - 19.01.2018 21:15","73282","73361"
"19.01.2018 21:15 - 19.01.2018 21:30","72653","72562"
"19.01.2018 21:30 - 19.01.2018 21:45","72329","71336"
"19.01.2018 21:45 - 19.01.2018 22:00","71323","70501"
"19.01.2018 22:00 - 19.01.2018 22:15","71702","70673"
"19.01.2018 22:15 - 19.01.2018 22:30","71052","69830"
"19.01.2018 22:30 - 19.01.2018 22:45","70112","68351"
"19.01.2018 22:45 - 19.01.2018 23:00","68909","67684"
"19.01.2018 23:00 - 19.01.2018 23:15","67429","67103"
"19.01.2018 23:15 - 19.01.2018 23:30","66285","65724"
"19.01.2018 23:30 - 19.01.2018 23:45","65384","64966"
"19.01.2018 23:45 - 20.01.2018 00:00","64390","64401"
"20.01.2018 00:00 - 20.01.2018 00:15","61864","63461"
"20.01.2018 00:15 - 20.01.2018 00:30","61261","62527"
"20.01.2018 00:30 - 20.01.2018 00:45","60414","61723"
"20.01.2018 00:45 - 20.01.2018 01:00","59705","61216"
"20.01.2018 01:00 - 20.01.2018 01:15","59053","60610"
"20.01.2018 01:15 - 20.01.2018 01:30","58517","59561"
"20.01.2018 01:30 - 20.01.2018 01:45","57978","59156"
"20.01.2018 01:45 - 20.01.2018 02:00","57620","58878"
"20.01.2018 02:00 - 20.01.2018 02:15","57266","58128"
"20.01.2018 02:15 - 20.01.2018 02:30","56875","57903"
"20.01.2018 02:30 - 20.01.2018 02:45","56888","57585"
"20.01.2018 02:45 - 20.01.2018 03:00","56741","57808"
"20.01.2018 03:00 - 20.01.2018 03:15","56611","57456"
"20.01.2018 03:15 - 20.01.2018 03:30","56547","57594"
"20.01.2018 03:30 - 20.01.2018 03:45","56534","57621"
"20.01.2018 03:45 - 20.01.2018 04:00","56442","57638"
"20.01.2018 04:00 - 20.01.2018 04:15","56558","57619"
"20.01.2018 04:15 - 20.01.2018 04:30","56630","57409"
"20.01.2018 04:30 - 20.01.2018 04:45","56738","57208"
"20.01.2018 04:45 - 20.01.2018 05:00","56807","56951"
"20.01.2018 05:00 - 20.01.2018 05:15","57220","57230"
"20.01.2018 05:15 - 20.01.2018 05:30","57057","57050"
"20.01.2018 05:30 - 20.01.2018 05:45","57233","56884"
"20.01.2018 05:45 - 20.01.2018 06:00","57452","57248"
"20.01.2018 06:00 - 20.01.2018 06:15","57556","57607"
"20.01.2018 06:15 - 20.01.2018 06:30","58308","58187"
"20.01.2018 06:30 - 20.01.2018 06:45","59142","58749"
"20.01.2018 06:45 - 20.01.2018 07:00","59991","59299"
"20.01.2018 07:00 - 20.01.2018 07:15","61410","60960"
"20.01.2018 07:15 - 20.01.2018 07:30","62564","61843"
"20.01.2018 07:30 - 20.01.2018 07:45","64489","63026"
"20.01.2018 07:45 - 20.01.2018 08:00","65389","63957"
"20.01.2018 08:00 - 20.01.2018 08:15","66516","65175"
"20.01.2018 08:15 - 20.01.2018 08:30","67313","65729"
"20.01.2018 08:30 - 20.01.2018 08:45","68123","66984"
"20.01.2018 08:45 - 20.01.2018 09:00","68800","67865"
"20.01.2018 09:00 - 20.01.2018 09:15","69725","68965"
"20.01.2018 09:15 - 20.01.2018 09:30","70402","69677"
"20.01.2018 09:30 - 20.01.2018 09:45","71090","70546"
"20.01.2018 09:45 - 20.01.2018 10:00","71380","71380"
"20.01.2018 10:00 - 20.01.2018 10:15","71981","71707"
"20.01.2018 10:15 - 20.01.2018 10:30","72287","71817"
"20.01.2018 10:30 - 20.01.2018 10:45","72507","71985"
"20.01.2018 10:45 - 20.01.2018 11:00","72659","72512"
"20.01.2018 11:00 - 20.01.2018 11:15","72934","72713"
"20.01.2018 11:15 - 20.01.2018 11:30","73241","73011"
"20.01.2018 11:30 - 20.01.2018 11:45","73498","72733"
"20.01.2018 11:45 - 20.01.2018 12:00","73149","72487"
"20.01.2018 12:00 - 20.01.2018 12:15","72956","72401"
"20.01.2018 12:15 - 20.01.2018 12:30","72891","72086"
"20.01.2018 12:30 - 20.01.2018 12:45","72500","71567"
"20.01.2018 12:45 - 20.01.2018 13:00","72224","71080"
"20.01.2018 13:00 - 20.01.2018 13:15","71743","70558"
"20.01.2018 13:15 - 20.01.2018 13:30","71127","69778"
"20.01.2018 13:30 - 20.01.2018 13:45","70710","69278"
"20.01.2018 13:45 - 20.01.2018 14:00","69812","68846"
"20.01.2018 14:00 - 20.01.2018 14:15","69417","68535"
"20.01.2018 14:15 - 20.01.2018 14:30","68836","68136"
"20.01.2018 14:30 - 20.01.2018 14:45","68824","67837"
"20.01.2018 14:45 - 20.01.2018 15:00","68911","67211"
"20.01.2018 15:00 - 20.01.2018 15:15","69229","67079"
"20.01.2018 15:15 - 20.01.2018 15:30","68830","66826"
"20.01.2018 15:30 - 20.01.2018 15:45","68794","67060"
"20.01.2018 15:45 - 20.01.2018 16:00","68749","66917"
"20.01.2018 16:00 - 20.01.2018 16:15","69392","67532"
"20.01.2018 16:15 - 20.01.2018 16:30","69660","67249"
"20.01.2018 16:30 - 20.01.2018 16:45","70135","67946"
"20.01.2018 16:45 - 20.01.2018 17:00","70741","68650"
"20.01.2018 17:00 - 20.01.2018 17:15","72077","70300"
"20.01.2018 17:15 - 20.01.2018 17:30","72856","71419"
"20.01.2018 17:30 - 20.01.2018 17:45","73750","72226"
"20.01.2018 17:45 - 20.01.2018 18:00","74065","72459"
"20.01.2018 18:00 - 20.01.2018 18:15","73977","72532"
"20.01.2018 18:15 - 20.01.2018 18:30","73945","72373"
"20.01.2018 18:30 - 20.01.2018 18:45","73749","71823"
"20.01.2018 18:45 - 20.01.2018 19:00","73436","71281"
"20.01.2018 19:00 - 20.01.2018 19:15","72882","70730"
"20.01.2018 19:15 - 20.01.2018 19:30","72328","70083"
"20.01.2018 19:30 - 20.01.2018 19:45","71716","69145"
"20.01.2018 19:45 - 20.01.2018 20:00","70899","68147"
"20.01.2018 20:00 - 20.01.2018 20:15","69495","67492"
"20.01.2018 20:15 - 20.01.2018 20:30","68344","66223"
"20.01.2018 20:30 - 20.01.2018 20:45","67010","64949"
"20.01.2018 20:45 - 20.01.2018 21:00","66140","64438"
"20.01.2018 21:00 - 20.01.2018 21:15","65152","63756"
"20.01.2018 21:15 - 20.01.2018 21:30","64674","63203"
"20.01.2018 21:30 - 20.01.2018 21:45","64530","62350"
"20.01.2018 21:45 - 20.01.2018 22:00","64184","62111"
"20.01.2018 22:00 - 20.01.2018 22:15","64873","63017"
"20.01.2018 22:15 - 20.01.2018 22:30","64353","62431"
"20.01.2018 22:30 - 20.01.2018 22:45","63504","61593"
"20.01.2018 22:45 - 20.01.2018 23:00","62424","60780"
"20.01.2018 23:00 - 20.01.2018 23:15","61211","59967"
"20.01.2018 23:15 - 20.01.2018 23:30","60456","59338"
"20.01.2018 23:30 - 20.01.2018 23:45","59607","58329"
"20.01.2018 23:45 - 21.01.2018 00:00","58818","57795"
"21.01.2018 00:00 - 21.01.2018 00:15","57481","56546"
"21.01.2018 00:15 - 21.01.2018 00:30","56687","55745"
"21.01.2018 00:30 - 21.01.2018 00:45","56038","54827"
"21.01.2018 00:45 - 21.01.2018 01:00","55392","54376"
"21.01.2018 01:00 - 21.01.2018 01:15","54643","54072"
"21.01.2018 01:15 - 21.01.2018 01:30","54197","53556"
"21.01.2018 01:30 - 21.01.2018 01:45","53762","53019"
"21.01.2018 01:45 - 21.01.2018 02:00","53288","52452"
"21.01.2018 02:00 - 21.01.2018 02:15","53023","52527"
"21.01.2018 02:15 - 21.01.2018 02:30","52790","52079"
"21.01.2018 02:30 - 21.01.2018 02:45","52699","51741"
"21.01.2018 02:45 - 21.01.2018 03:00","52597","51761"
"21.01.2018 03:00 - 21.01.2018 03:15","52481","51803"
"21.01.2018 03:15 - 21.01.2018 03:30","52420","51689"
"21.01.2018 03:30 - 21.01.2018 03:45","52360","51519"
"21.01.2018 03:45 - 21.01.2018 04:00","52299","51542"
"21.01.2018 04:00 - 21.01.2018 04:15","52344","51831"
"21.01.2018 04:15 - 21.01.2018 04:30","52280","51482"
"21.01.2018 04:30 - 21.01.2018 04:45","52403","51760"
"21.01.2018 04:45 - 21.01.2018 05:00","52394","51730"
"21.01.2018 05:00 - 21.01.2018 05:15","52518","51495"
"21.01.2018 05:15 - 21.01.2018 05:30","52295","51199"
"21.01.2018 05:30 - 21.01.2018 05:45","52308","51049"
"21.01.2018 05:45 - 21.01.2018 06:00","52166","50531"
"21.01.2018 06:00 - 21.01.2018 06:15","51635","50323"
"21.01.2018 06:15 - 21.01.2018 06:30","52128","50692"
"21.01.2018 06:30 - 21.01.2018 06:45","52480","50967"
"21.01.2018 06:45 - 21.01.2018 07:00","53114","51139"
"21.01.2018 07:00 - 21.01.2018 07:15","53946","51859"
"21.01.2018 07:15 - 21.01.2018 07:30","54701","52644"
"21.01.2018 07:30 - 21.01.2018 07:45","55570","53301"
"21.01.2018 07:45 - 21.01.2018 08:00","56506","54197"
"21.01.2018 08:00 - 21.01.2018 08:15","57515","55058"
"21.01.2018 08:15 - 21.01.2018 08:30","58277","55811"
"21.01.2018 08:30 - 21.01.2018 08:45","59160","56962"
"21.01.2018 08:45 - 21.01.2018 09:00","59999","58167"
"21.01.2018 09:00 - 21.01.2018 09:15","61323","59179"
"21.01.2018 09:15 - 21.01.2018 09:30","62229","60327"
"21.01.2018 09:30 - 21.01.2018 09:45","62907","61204"
"21.01.2018 09:45 - 21.01.2018 10:00","63277","61977"
"21.01.2018 10:00 - 21.01.2018 10:15","64079","62704"
"21.01.2018 10:15 - 21.01.2018 10:30","64765","63433"
"21.01.2018 10:30 - 21.01.2018 10:45","65301","64228"
"21.01.2018 10:45 - 21.01.2018 11:00","65863","64686"
"21.01.2018 11:00 - 21.01.2018 11:15","66319","65205"
"21.01.2018 11:15 - 21.01.2018 11:30","66926","66491"
"21.01.2018 11:30 - 21.01.2018 11:45","67431","67127"
"21.01.2018 11:45 - 21.01.2018 12:00","67084","67218"
"21.01.2018 12:00 - 21.01.2018 12:15","66949","67090"
"21.01.2018 12:15 - 21.01.2018 12:30","66931","66290"
"21.01.2018 12:30 - 21.01.2018 12:45","66274","65566"
"21.01.2018 12:45 - 21.01.2018 13:00","65796","65046"
"21.01.2018 13:00 - 21.01.2018 13:15","65382","64298"
"21.01.2018 13:15 - 21.01.2018 13:30","64708","63937"
"21.01.2018 13:30 - 21.01.2018 13:45","64326","63612"
"21.01.2018 13:45 - 21.01.2018 14:00","63344","63038"
"21.01.2018 14:00 - 21.01.2018 14:15","63036","62944"
"21.01.2018 14:15 - 21.01.2018 14:30","62620","62499"
"21.01.2018 14:30 - 21.01.2018 14:45","62366","62245"
"21.01.2018 14:45 - 21.01.2018 15:00","62599","61876"
"21.01.2018 15:00 - 21.01.2018 15:15","62782","61745"
"21.01.2018 15:15 - 21.01.2018 15:30","62277","61721"
"21.01.2018 15:30 - 21.01.2018 15:45","62441","61963"
"21.01.2018 15:45 - 21.01.2018 16:00","62324","61762"
"21.01.2018 16:00 - 21.01.2018 16:15","62990","61821"
"21.01.2018 16:15 - 21.01.2018 16:30","63403","62395"
"21.01.2018 16:30 - 21.01.2018 16:45","63996","62861"
"21.01.2018 16:45 - 21.01.2018 17:00","64655","64133"
"21.01.2018 17:00 - 21.01.2018 17:15","66505","65746"
"21.01.2018 17:15 - 21.01.2018 17:30","67793","66932"
"21.01.2018 17:30 - 21.01.2018 17:45","69242","67963"
"21.01.2018 17:45 - 21.01.2018 18:00","69712","69026"
"21.01.2018 18:00 - 21.01.2018 18:15","70400","69582"
"21.01.2018 18:15 - 21.01.2018 18:30","70576","69527"
"21.01.2018 18:30 - 21.01.2018 18:45","70337","69255"
"21.01.2018 18:45 - 21.01.2018 19:00","70094","69128"
"21.01.2018 19:00 - 21.01.2018 19:15","69738","68636"
"21.01.2018 19:15 - 21.01.2018 19:30","69415","67922"
"21.01.2018 19:30 - 21.01.2018 19:45","68941","67242"
"21.01.2018 19:45 - 21.01.2018 20:00","68187","66725"
"21.01.2018 20:00 - 21.01.2018 20:15","67285","66495"
"21.01.2018 20:15 - 21.01.2018 20:30","66646","65954"
"21.01.2018 20:30 - 21.01.2018 20:45","65237","65059"
"21.01.2018 20:45 - 21.01.2018 21:00","64762","64300"
"21.01.2018 21:00 - 21.01.2018 21:15","63857","63835"
"21.01.2018 21:15 - 21.01.2018 21:30","63439","63503"
"21.01.2018 21:30 - 21.01.2018 21:45","63583","63264"
"21.01.2018 21:45 - 21.01.2018 22:00","63745","63399"
"21.01.2018 22:00 - 21.01.2018 22:15","64735","64824"
"21.01.2018 22:15 - 21.01.2018 22:30","64345","64471"
"21.01.2018 22:30 - 21.01.2018 22:45","63644","63385"
"21.01.2018 22:45 - 21.01.2018 23:00","62643","62804"
"21.01.2018 23:00 - 21.01.2018 23:15","61389","62212"
"21.01.2018 23:15 - 21.01.2018 23:30","60553","61251"
"21.01.2018 23:30 - 21.01.2018 23:45","59785","60604"
"21.01.2018 23:45 - 22.01.2018 00:00","59170","59865"
"22.01.2018 00:00 - 22.01.2018 00:15","59399","58756"
"22.01.2018 00:15 - 22.01.2018 00:30","58860","58458"
"22.01.2018 00:30 - 22.01.2018 00:45","58294","57750"
"22.01.2018 00:45 - 22.01.2018 01:00","57692","57107"
"22.01.2018 01:00 - 22.01.2018 01:15","57164","56527"
"22.01.2018 01:15 - 22.01.2018 01:30","56766","56170"
"22.01.2018 01:30 - 22.01.2018 01:45","56453","55943"
"22.01.2018 01:45 - 22.01.2018 02:00","56164","55898"
"22.01.2018 02:00 - 22.01.2018 02:15","55947","56020"
"22.01.2018 02:15 - 22.01.2018 02:30","55857","55730"
"22.01.2018 02:30 - 22.01.2018 02:45","55907","55792"
"22.01.2018 02:45 - 22.01.2018 03:00","55897","55817"
"22.01.2018 03:00 - 22.01.2018 03:15","55839","55956"
"22.01.2018 03:15 - 22.01.2018 03:30","55869","56125"
"22.01.2018 03:30 - 22.01.2018 03:45","56023","56215"
"22.01.2018 03:45 - 22.01.2018 04:00","56225","56711"
"22.01.2018 04:00 - 22.01.2018 04:15","56903","57617"
"22.01.2018 04:15 - 22.01.2018 04:30","57270","57889"
"22.01.2018 04:30 - 22.01.2018 04:45","57827","58820"
"22.01.2018 04:45 - 22.01.2018 05:00","58553","59436"
"22.01.2018 05:00 - 22.01.2018 05:15","60286","60917"
"22.01.2018 05:15 - 22.01.2018 05:30","61144","62323"
"22.01.2018 05:30 - 22.01.2018 05:45","62548","63785"
"22.01.2018 05:45 - 22.01.2018 06:00","64364","65552"
"22.01.2018 06:00 - 22.01.2018 06:15","67834","69067"
"22.01.2018 06:15 - 22.01.2018 06:30","70495","71639"
"22.01.2018 06:30 - 22.01.2018 06:45","72580","73851"
"22.01.2018 06:45 - 22.01.2018 07:00","74681","75685"
"22.01.2018 07:00 - 22.01.2018 07:15","77205","78174"
"22.01.2018 07:15 - 22.01.2018 07:30","78553","79590"
"22.01.2018 07:30 - 22.01.2018 07:45","79705","80618"
"22.01.2018 07:45 - 22.01.2018 08:00","80632","81370"
"22.01.2018 08:00 - 22.01.2018 08:15","81637","82376"
"22.01.2018 08:15 - 22.01.2018 08:30","81886","82829"
"22.01.2018 08:30 - 22.01.2018 08:45","82238","83121"
"22.01.2018 08:45 - 22.01.2018 09:00","82446","83826"
"22.01.2018 09:00 - 22.01.2018 09:15","82361","83624"
"22.01.2018 09:15 - 22.01.2018 09:30","82459","84204"
"22.01.2018 09:30 - 22.01.2018 09:45","82838","84767"
"22.01.2018 09:45 - 22.01.2018 10:00","82945","84903"
"22.01.2018 10:00 - 22.01.2018 10:15","83142","85145"
"22.01.2018 10:15 - 22.01.2018 10:30","83328","85011"
"22.01.2018 10:30 - 22.01.2018 10:45","83557","85510"
"22.01.2018 10:45 - 22.01.2018 11:00","83875","85789"
"22.01.2018 11:00 - 22.01.2018 11:15","83888","85766"
"22.01.2018 11:15 - 22.01.2018 11:30","84206","85935"
"22.01.2018 11:30 - 22.01.2018 11:45","84523","86088"
"22.01.2018 11:45 - 22.01.2018 12:00","84959","85868"
"22.01.2018 12:00 - 22.01.2018 12:15","84080","85426"
"22.01.2018 12:15 - 22.01.2018 12:30","84209","85281"
"22.01.2018 12:30 - 22.01.2018 12:45","84029","85412"
"22.01.2018 12:45 - 22.01.2018 13:00","84113","85061"
"22.01.2018 13:00 - 22.01.2018 13:15","83952","85328"
"22.01.2018 13:15 - 22.01.2018 13:30","83474","85148"
"22.01.2018 13:30 - 22.01.2018 13:45","82968","84726"
"22.01.2018 13:45 - 22.01.2018 14:00","82213","83927"
"22.01.2018 14:00 - 22.01.2018 14:15","82011","84060"
"22.01.2018 14:15 - 22.01.2018 14:30","81800","83926"
"22.01.2018 14:30 - 22.01.2018 14:45","81522","83628"
"22.01.2018 14:45 - 22.01.2018 15:00","81094","83322"
"22.01.2018 15:00 - 22.01.2018 15:15","79674","83312"
"22.01.2018 15:15 - 22.01.2018 15:30","81237","83040"
"22.01.2018 15:30 - 22.01.2018 15:45","81291","82933"
"22.01.2018 15:45 - 22.01.2018 16:00","80851","82350"
"22.01.2018 16:00 - 22.01.2018 16:15","81174","82000"
"22.01.2018 16:15 - 22.01.2018 16:30","80177","81883"
"22.01.2018 16:30 - 22.01.2018 16:45","81022","82305"
"22.01.2018 16:45 - 22.01.2018 17:00","82184","82858"
"22.01.2018 17:00 - 22.01.2018 17:15","83413","83976"
"22.01.2018 17:15 - 22.01.2018 17:30","84455","84895"
"22.01.2018 17:30 - 22.01.2018 17:45","85476","85328"
"22.01.2018 17:45 - 22.01.2018 18:00","85925","85423"
"22.01.2018 18:00 - 22.01.2018 18:15","85606","85125"
"22.01.2018 18:15 - 22.01.2018 18:30","85224","84785"
"22.01.2018 18:30 - 22.01.2018 18:45","85040","84517"
"22.01.2018 18:45 - 22.01.2018 19:00","84701","84464"
"22.01.2018 19:00 - 22.01.2018 19:15","83983","83663"
"22.01.2018 19:15 - 22.01.2018 19:30","83281","82711"
"22.01.2018 19:30 - 22.01.2018 19:45","82613","81931"
"22.01.2018 19:45 - 22.01.2018 20:00","81858","80982"
"22.01.2018 20:00 - 22.01.2018 20:15","80178","79437"
"22.01.2018 20:15 - 22.01.2018 20:30","78689","77938"
"22.01.2018 20:30 - 22.01.2018 20:45","77543","76523"
"22.01.2018 20:45 - 22.01.2018 21:00","76536","75200"
"22.01.2018 21:00 - 22.01.2018 21:15","75117","74707"
"22.01.2018 21:15 - 22.01.2018 21:30","74531","73568"
"22.01.2018 21:30 - 22.01.2018 21:45","74171","72583"
"22.01.2018 21:45 - 22.01.2018 22:00","72778","71360"
"22.01.2018 22:00 - 22.01.2018 22:15","72912","71507"
"22.01.2018 22:15 - 22.01.2018 22:30","72073","70543"
"22.01.2018 22:30 - 22.01.2018 22:45","71004","69314"
"22.01.2018 22:45 - 22.01.2018 23:00","69735","68169"
"22.01.2018 23:00 - 22.01.2018 23:15","68156","66860"
"22.01.2018 23:15 - 22.01.2018 23:30","67104","65487"
"22.01.2018 23:30 - 22.01.2018 23:45","66095","64569"
"22.01.2018 23:45 - 23.01.2018 00:00","65108","63722"
"23.01.2018 00:00 - 23.01.2018 00:15","64902","62831"
"23.01.2018 00:15 - 23.01.2018 00:30","64672","61806"
"23.01.2018 00:30 - 23.01.2018 00:45","63773","61058"
"23.01.2018 00:45 - 23.01.2018 01:00","63218","60020"
"23.01.2018 01:00 - 23.01.2018 01:15","62406","59367"
"23.01.2018 01:15 - 23.01.2018 01:30","61797","58929"
