"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"09.01.2017 18:00 - 09.01.2017 19:00 (CET/CEST)","76667","0"
"09.01.2017 19:00 - 09.01.2017 20:00 (CET/CEST)","75750","0"
"09.01.2017 20:00 - 09.01.2017 21:00 (CET/CEST)","72326","0"
"09.01.2017 21:00 - 09.01.2017 22:00 (CET/CEST)","67574","0"
"09.01.2017 22:00 - 09.01.2017 23:00 (CET/CEST)","63216","0"
"09.01.2017 23:00 - 10.01.2017 00:00 (CET/CEST)","59669","0"
"10.01.2017 00:00 - 10.01.2017 01:00 (CET/CEST)","58772","0"
"10.01.2017 01:00 - 10.01.2017 02:00 (CET/CEST)","57662","0"
"10.01.2017 02:00 - 10.01.2017 03:00 (CET/CEST)","57072","0"
"10.01.2017 03:00 - 10.01.2017 04:00 (CET/CEST)","56785","0"
"10.01.2017 04:00 - 10.01.2017 05:00 (CET/CEST)","57502","0"
"10.01.2017 05:00 - 10.01.2017 06:00 (CET/CEST)","59850","0"
"10.01.2017 06:00 - 10.01.2017 07:00 (CET/CEST)","66506","0"
"10.01.2017 07:00 - 10.01.2017 08:00 (CET/CEST)","73784","0"
"10.01.2017 08:00 - 10.01.2017 09:00 (CET/CEST)","77777","0"
"10.01.2017 09:00 - 10.01.2017 10:00 (CET/CEST)","77208","0"
"10.01.2017 10:00 - 10.01.2017 11:00 (CET/CEST)","76421","0"
"10.01.2017 11:00 - 10.01.2017 12:00 (CET/CEST)","76140","0"
"10.01.2017 12:00 - 10.01.2017 13:00 (CET/CEST)","74667","0"
"10.01.2017 13:00 - 10.01.2017 14:00 (CET/CEST)","73659","0"
"10.01.2017 14:00 - 10.01.2017 15:00 (CET/CEST)","73031","0"
"10.01.2017 15:00 - 10.01.2017 16:00 (CET/CEST)","72236","0"
"10.01.2017 16:00 - 10.01.2017 17:00 (CET/CEST)","72787","0"
"10.01.2017 17:00 - 10.01.2017 18:00 (CET/CEST)","75094","0"
"10.01.2017 18:00 - 10.01.2017 19:00 (CET/CEST)","75309","0"
"10.01.2017 19:00 - 10.01.2017 20:00 (CET/CEST)","73566","0"
"10.01.2017 20:00 - 10.01.2017 21:00 (CET/CEST)","69091","0"
"10.01.2017 21:00 - 10.01.2017 22:00 (CET/CEST)","65114","0"
"10.01.2017 22:00 - 10.01.2017 23:00 (CET/CEST)","60803","0"
"10.01.2017 23:00 - 11.01.2017 00:00 (CET/CEST)","56731","0"
"11.01.2017 00:00 - 11.01.2017 01:00 (CET/CEST)","55613","0"
"11.01.2017 01:00 - 11.01.2017 02:00 (CET/CEST)","54669","0"
"11.01.2017 02:00 - 11.01.2017 03:00 (CET/CEST)","52639","0"
"11.01.2017 03:00 - 11.01.2017 04:00 (CET/CEST)","53442","0"
"11.01.2017 04:00 - 11.01.2017 05:00 (CET/CEST)","55231","0"
"11.01.2017 05:00 - 11.01.2017 06:00 (CET/CEST)","57865","0"
"11.01.2017 06:00 - 11.01.2017 07:00 (CET/CEST)","65748","0"
"11.01.2017 07:00 - 11.01.2017 08:00 (CET/CEST)","71461","0"
"11.01.2017 08:00 - 11.01.2017 09:00 (CET/CEST)","75776","0"
"11.01.2017 09:00 - 11.01.2017 10:00 (CET/CEST)","77888","0"
"11.01.2017 10:00 - 11.01.2017 11:00 (CET/CEST)","79927","0"
"11.01.2017 11:00 - 11.01.2017 12:00 (CET/CEST)","80491","0"
"11.01.2017 12:00 - 11.01.2017 13:00 (CET/CEST)","81306","0"
"11.01.2017 13:00 - 11.01.2017 14:00 (CET/CEST)","80713","0"
"11.01.2017 14:00 - 11.01.2017 15:00 (CET/CEST)","78804","0"
"11.01.2017 15:00 - 11.01.2017 16:00 (CET/CEST)","77913","0"
"11.01.2017 16:00 - 11.01.2017 17:00 (CET/CEST)","77823","0"
"11.01.2017 17:00 - 11.01.2017 18:00 (CET/CEST)","80048","0"
"11.01.2017 18:00 - 11.01.2017 19:00 (CET/CEST)","79743","0"
"11.01.2017 19:00 - 11.01.2017 20:00 (CET/CEST)","78305","0"
"11.01.2017 20:00 - 11.01.2017 21:00 (CET/CEST)","73063","0"
"11.01.2017 21:00 - 11.01.2017 22:00 (CET/CEST)","69585","0"
"11.01.2017 22:00 - 11.01.2017 23:00 (CET/CEST)","66818","0"
"11.01.2017 23:00 - 12.01.2017 00:00 (CET/CEST)","63582","0"
"12.01.2017 00:00 - 12.01.2017 01:00 (CET/CEST)","60901","0"
"12.01.2017 01:00 - 12.01.2017 02:00 (CET/CEST)","59533","0"
