"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"11.08.2017 21:30 - 11.08.2017 21:45","59548","60315"
"11.08.2017 21:45 - 11.08.2017 22:00","58883","59096"
"11.08.2017 22:00 - 11.08.2017 22:15","57956","58197"
"11.08.2017 22:15 - 11.08.2017 22:30","56946","57470"
"11.08.2017 22:30 - 11.08.2017 22:45","56030","56308"
"11.08.2017 22:45 - 11.08.2017 23:00","54837","55562"
"11.08.2017 23:00 - 11.08.2017 23:15","53206","54361"
"11.08.2017 23:15 - 11.08.2017 23:30","52264","53250"
"11.08.2017 23:30 - 11.08.2017 23:45","51362","52269"
"11.08.2017 23:45 - 12.08.2017 00:00","50436","51317"
"12.08.2017 00:00 - 12.08.2017 00:15","48790","50032"
"12.08.2017 00:15 - 12.08.2017 00:30","48464","49458"
"12.08.2017 00:30 - 12.08.2017 00:45","47906","48609"
"12.08.2017 00:45 - 12.08.2017 01:00","47262","48121"
"12.08.2017 01:00 - 12.08.2017 01:15","46516","47581"
"12.08.2017 01:15 - 12.08.2017 01:30","46034","47004"
"12.08.2017 01:30 - 12.08.2017 01:45","45630","46552"
"12.08.2017 01:45 - 12.08.2017 02:00","45314","46325"
"12.08.2017 02:00 - 12.08.2017 02:15","44958","45795"
"12.08.2017 02:15 - 12.08.2017 02:30","44661","45539"
"12.08.2017 02:30 - 12.08.2017 02:45","44481","45299"
"12.08.2017 02:45 - 12.08.2017 03:00","44337","45257"
"12.08.2017 03:00 - 12.08.2017 03:15","44287","45278"
"12.08.2017 03:15 - 12.08.2017 03:30","44082","45347"
"12.08.2017 03:30 - 12.08.2017 03:45","44030","45266"
"12.08.2017 03:45 - 12.08.2017 04:00","43937","45119"
"12.08.2017 04:00 - 12.08.2017 04:15","44152","45338"
"12.08.2017 04:15 - 12.08.2017 04:30","44224","45373"
"12.08.2017 04:30 - 12.08.2017 04:45","44242","45508"
"12.08.2017 04:45 - 12.08.2017 05:00","44242","45593"
"12.08.2017 05:00 - 12.08.2017 05:15","44711","46097"
"12.08.2017 05:15 - 12.08.2017 05:30","44661","46335"
"12.08.2017 05:30 - 12.08.2017 05:45","44807","46744"
"12.08.2017 05:45 - 12.08.2017 06:00","44827","46828"
"12.08.2017 06:00 - 12.08.2017 06:15","45591","47725"
"12.08.2017 06:15 - 12.08.2017 06:30","46282","48185"
"12.08.2017 06:30 - 12.08.2017 06:45","46565","48578"
"12.08.2017 06:45 - 12.08.2017 07:00","47185","49346"
"12.08.2017 07:00 - 12.08.2017 07:15","48524","50381"
"12.08.2017 07:15 - 12.08.2017 07:30","49574","51363"
"12.08.2017 07:30 - 12.08.2017 07:45","51160","52307"
"12.08.2017 07:45 - 12.08.2017 08:00","52122","53227"
"12.08.2017 08:00 - 12.08.2017 08:15","53798","54689"
"12.08.2017 08:15 - 12.08.2017 08:30","54607","55476"
"12.08.2017 08:30 - 12.08.2017 08:45","55664","56374"
"12.08.2017 08:45 - 12.08.2017 09:00","56623","57347"
"12.08.2017 09:00 - 12.08.2017 09:15","57664","58174"
"12.08.2017 09:15 - 12.08.2017 09:30","58419","58971"
"12.08.2017 09:30 - 12.08.2017 09:45","59026","59548"
"12.08.2017 09:45 - 12.08.2017 10:00","59571","60241"
"12.08.2017 10:00 - 12.08.2017 10:15","60211","60607"
"12.08.2017 10:15 - 12.08.2017 10:30","60402","61005"
"12.08.2017 10:30 - 12.08.2017 10:45","60996","61546"
"12.08.2017 10:45 - 12.08.2017 11:00","61132","61663"
"12.08.2017 11:00 - 12.08.2017 11:15","61452","62190"
"12.08.2017 11:15 - 12.08.2017 11:30","62170","62554"
"12.08.2017 11:30 - 12.08.2017 11:45","62764","62797"
"12.08.2017 11:45 - 12.08.2017 12:00","62225","62901"
"12.08.2017 12:00 - 12.08.2017 12:15","61728","62107"
"12.08.2017 12:15 - 12.08.2017 12:30","61645","61715"
"12.08.2017 12:30 - 12.08.2017 12:45","61341","61545"
"12.08.2017 12:45 - 12.08.2017 13:00","61126","61068"
"12.08.2017 13:00 - 12.08.2017 13:15","60346","60906"
"12.08.2017 13:15 - 12.08.2017 13:30","60155","60311"
"12.08.2017 13:30 - 12.08.2017 13:45","59877","59770"
"12.08.2017 13:45 - 12.08.2017 14:00","59072","59259"
"12.08.2017 14:00 - 12.08.2017 14:15","58419","58835"
"12.08.2017 14:15 - 12.08.2017 14:30","57711","58574"
"12.08.2017 14:30 - 12.08.2017 14:45","57197","58319"
"12.08.2017 14:45 - 12.08.2017 15:00","57290","58022"
"12.08.2017 15:00 - 12.08.2017 15:15","57546","57836"
"12.08.2017 15:15 - 12.08.2017 15:30","56445","57423"
"12.08.2017 15:30 - 12.08.2017 15:45","56204","57592"
"12.08.2017 15:45 - 12.08.2017 16:00","55709","57369"
"12.08.2017 16:00 - 12.08.2017 16:15","55850","57037"
"12.08.2017 16:15 - 12.08.2017 16:30","56221","57215"
"12.08.2017 16:30 - 12.08.2017 16:45","56029","56885"
"12.08.2017 16:45 - 12.08.2017 17:00","55483","57094"
"12.08.2017 17:00 - 12.08.2017 17:15","55901","57591"
"12.08.2017 17:15 - 12.08.2017 17:30","56384","57806"
"12.08.2017 17:30 - 12.08.2017 17:45","56649","57624"
"12.08.2017 17:45 - 12.08.2017 18:00","56552","57798"
"12.08.2017 18:00 - 12.08.2017 18:15","56598","57571"
"12.08.2017 18:15 - 12.08.2017 18:30","56609","57215"
"12.08.2017 18:30 - 12.08.2017 18:45","56527","57163"
"12.08.2017 18:45 - 12.08.2017 19:00","56560","56992"
"12.08.2017 19:00 - 12.08.2017 19:15","56341","56878"
"12.08.2017 19:15 - 12.08.2017 19:30","56252","56618"
"12.08.2017 19:30 - 12.08.2017 19:45","55755","56151"
"12.08.2017 19:45 - 12.08.2017 20:00","54847","55916"
"12.08.2017 20:00 - 12.08.2017 20:15","54748","55484"
"12.08.2017 20:15 - 12.08.2017 20:30","54326","54809"
"12.08.2017 20:30 - 12.08.2017 20:45","53242","54461"
"12.08.2017 20:45 - 12.08.2017 21:00","53137","54276"
"12.08.2017 21:00 - 12.08.2017 21:15","52511","54283"
"12.08.2017 21:15 - 12.08.2017 21:30","52551","54055"
"12.08.2017 21:30 - 12.08.2017 21:45","52624","53381"
"12.08.2017 21:45 - 12.08.2017 22:00","52620","52582"
"12.08.2017 22:00 - 12.08.2017 22:15","52378","52159"
"12.08.2017 22:15 - 12.08.2017 22:30","51762","51516"
"12.08.2017 22:30 - 12.08.2017 22:45","50986","50560"
"12.08.2017 22:45 - 12.08.2017 23:00","50013","49334"
"12.08.2017 23:00 - 12.08.2017 23:15","48529","48796"
"12.08.2017 23:15 - 12.08.2017 23:30","47766","47927"
"12.08.2017 23:30 - 12.08.2017 23:45","47037","47043"
"12.08.2017 23:45 - 13.08.2017 00:00","46177","46310"
"13.08.2017 00:00 - 13.08.2017 00:15","44384","45346"
"13.08.2017 00:15 - 13.08.2017 00:30","43906","44729"
"13.08.2017 00:30 - 13.08.2017 00:45","43425","44062"
"13.08.2017 00:45 - 13.08.2017 01:00","42885","43529"
"13.08.2017 01:00 - 13.08.2017 01:15","42109","42921"
"13.08.2017 01:15 - 13.08.2017 01:30","41692","42492"
"13.08.2017 01:30 - 13.08.2017 01:45","41338","42040"
"13.08.2017 01:45 - 13.08.2017 02:00","40958","41702"
"13.08.2017 02:00 - 13.08.2017 02:15","40651","41422"
"13.08.2017 02:15 - 13.08.2017 02:30","40420","41422"
"13.08.2017 02:30 - 13.08.2017 02:45","40236","40992"
"13.08.2017 02:45 - 13.08.2017 03:00","40077","40639"
"13.08.2017 03:00 - 13.08.2017 03:15","39899","40326"
"13.08.2017 03:15 - 13.08.2017 03:30","39722","40263"
"13.08.2017 03:30 - 13.08.2017 03:45","39701","40154"
"13.08.2017 03:45 - 13.08.2017 04:00","39606","40046"
"13.08.2017 04:00 - 13.08.2017 04:15","39712","40126"
"13.08.2017 04:15 - 13.08.2017 04:30","39768","40134"
"13.08.2017 04:30 - 13.08.2017 04:45","39749","40117"
"13.08.2017 04:45 - 13.08.2017 05:00","39721","40090"
"13.08.2017 05:00 - 13.08.2017 05:15","40104","40447"
"13.08.2017 05:15 - 13.08.2017 05:30","40008","40612"
"13.08.2017 05:30 - 13.08.2017 05:45","39942","40836"
"13.08.2017 05:45 - 13.08.2017 06:00","39844","40761"
"13.08.2017 06:00 - 13.08.2017 06:15","39922","40825"
"13.08.2017 06:15 - 13.08.2017 06:30","39978","41001"
"13.08.2017 06:30 - 13.08.2017 06:45","40139","41386"
"13.08.2017 06:45 - 13.08.2017 07:00","40367","41785"
"13.08.2017 07:00 - 13.08.2017 07:15","41387","42543"
"13.08.2017 07:15 - 13.08.2017 07:30","42267","43184"
"13.08.2017 07:30 - 13.08.2017 07:45","43490","44167"
"13.08.2017 07:45 - 13.08.2017 08:00","44335","44973"
"13.08.2017 08:00 - 13.08.2017 08:15","45522","46078"
"13.08.2017 08:15 - 13.08.2017 08:30","46342","47206"
"13.08.2017 08:30 - 13.08.2017 08:45","47306","47938"
"13.08.2017 08:45 - 13.08.2017 09:00","48208","48823"
"13.08.2017 09:00 - 13.08.2017 09:15","49443","49335"
"13.08.2017 09:15 - 13.08.2017 09:30","50200","50255"
"13.08.2017 09:30 - 13.08.2017 09:45","50915","50956"
"13.08.2017 09:45 - 13.08.2017 10:00","51637","51454"
"13.08.2017 10:00 - 13.08.2017 10:15","52394","52260"
"13.08.2017 10:15 - 13.08.2017 10:30","52838","52909"
"13.08.2017 10:30 - 13.08.2017 10:45","53602","53538"
"13.08.2017 10:45 - 13.08.2017 11:00","54066","53788"
"13.08.2017 11:00 - 13.08.2017 11:15","54995","54827"
"13.08.2017 11:15 - 13.08.2017 11:30","55800","55706"
"13.08.2017 11:30 - 13.08.2017 11:45","56535","55994"
"13.08.2017 11:45 - 13.08.2017 12:00","56140","56048"
"13.08.2017 12:00 - 13.08.2017 12:15","55855","55885"
"13.08.2017 12:15 - 13.08.2017 12:30","55826","55225"
"13.08.2017 12:30 - 13.08.2017 12:45","55423","54571"
"13.08.2017 12:45 - 13.08.2017 13:00","55118","54015"
"13.08.2017 13:00 - 13.08.2017 13:15","54027","53702"
"13.08.2017 13:15 - 13.08.2017 13:30","53694","53085"
"13.08.2017 13:30 - 13.08.2017 13:45","53218","52410"
"13.08.2017 13:45 - 13.08.2017 14:00","52476","52229"
"13.08.2017 14:00 - 13.08.2017 14:15","52130","51702"
"13.08.2017 14:15 - 13.08.2017 14:30","51548","51511"
"13.08.2017 14:30 - 13.08.2017 14:45","51566","51261"
"13.08.2017 14:45 - 13.08.2017 15:00","51463","50956"
"13.08.2017 15:00 - 13.08.2017 15:15","51573","50907"
"13.08.2017 15:15 - 13.08.2017 15:30","51087","50538"
"13.08.2017 15:30 - 13.08.2017 15:45","50798","50429"
"13.08.2017 15:45 - 13.08.2017 16:00","50908","50224"
"13.08.2017 16:00 - 13.08.2017 16:15","51189","50084"
"13.08.2017 16:15 - 13.08.2017 16:30","51301","49746"
"13.08.2017 16:30 - 13.08.2017 16:45","51136","50173"
"13.08.2017 16:45 - 13.08.2017 17:00","50729","50326"
"13.08.2017 17:00 - 13.08.2017 17:15","51439","50895"
"13.08.2017 17:15 - 13.08.2017 17:30","51622","51207"
"13.08.2017 17:30 - 13.08.2017 17:45","52234","51712"
"13.08.2017 17:45 - 13.08.2017 18:00","52251","52017"
"13.08.2017 18:00 - 13.08.2017 18:15","52696","52402"
"13.08.2017 18:15 - 13.08.2017 18:30","53267","52663"
"13.08.2017 18:30 - 13.08.2017 18:45","53361","52918"
"13.08.2017 18:45 - 13.08.2017 19:00","53308","53173"
"13.08.2017 19:00 - 13.08.2017 19:15","53991","53180"
"13.08.2017 19:15 - 13.08.2017 19:30","53987","53194"
"13.08.2017 19:30 - 13.08.2017 19:45","53736","53035"
"13.08.2017 19:45 - 13.08.2017 20:00","52925","52940"
"13.08.2017 20:00 - 13.08.2017 20:15","53138","53000"
"13.08.2017 20:15 - 13.08.2017 20:30","53066","52881"
"13.08.2017 20:30 - 13.08.2017 20:45","52243","52791"
"13.08.2017 20:45 - 13.08.2017 21:00","52219","53004"
"13.08.2017 21:00 - 13.08.2017 21:15","51866","53384"
"13.08.2017 21:15 - 13.08.2017 21:30","52146","53683"
"13.08.2017 21:30 - 13.08.2017 21:45","52571","53233"
"13.08.2017 21:45 - 13.08.2017 22:00","52593","53097"
"13.08.2017 22:00 - 13.08.2017 22:15","52361","53157"
"13.08.2017 22:15 - 13.08.2017 22:30","51862","52363"
"13.08.2017 22:30 - 13.08.2017 22:45","51139","51388"
"13.08.2017 22:45 - 13.08.2017 23:00","50132","50413"
"13.08.2017 23:00 - 13.08.2017 23:15","48795","49654"
"13.08.2017 23:15 - 13.08.2017 23:30","47870","48649"
"13.08.2017 23:30 - 13.08.2017 23:45","47180","47901"
"13.08.2017 23:45 - 14.08.2017 00:00","46422","47167"
"14.08.2017 00:00 - 14.08.2017 00:15","44934","46312"
"14.08.2017 00:15 - 14.08.2017 00:30","44671","45780"
"14.08.2017 00:30 - 14.08.2017 00:45","44236","45172"
"14.08.2017 00:45 - 14.08.2017 01:00","43819","44720"
"14.08.2017 01:00 - 14.08.2017 01:15","43197","44255"
"14.08.2017 01:15 - 14.08.2017 01:30","42788","43835"
"14.08.2017 01:30 - 14.08.2017 01:45","42497","43470"
"14.08.2017 01:45 - 14.08.2017 02:00","42221","43208"
"14.08.2017 02:00 - 14.08.2017 02:15","41985","42899"
"14.08.2017 02:15 - 14.08.2017 02:30","41823","42851"
"14.08.2017 02:30 - 14.08.2017 02:45","41825","42724"
"14.08.2017 02:45 - 14.08.2017 03:00","41707","42640"
"14.08.2017 03:00 - 14.08.2017 03:15","41764","42512"
"14.08.2017 03:15 - 14.08.2017 03:30","41745","42664"
"14.08.2017 03:30 - 14.08.2017 03:45","41887","42817"
"14.08.2017 03:45 - 14.08.2017 04:00","42000","42747"
"14.08.2017 04:00 - 14.08.2017 04:15","42826","43350"
"14.08.2017 04:15 - 14.08.2017 04:30","43130","43713"
"14.08.2017 04:30 - 14.08.2017 04:45","43665","44225"
"14.08.2017 04:45 - 14.08.2017 05:00","44264","44990"
"14.08.2017 05:00 - 14.08.2017 05:15","45969","46585"
"14.08.2017 05:15 - 14.08.2017 05:30","46874","47713"
"14.08.2017 05:30 - 14.08.2017 05:45","48190","48893"
"14.08.2017 05:45 - 14.08.2017 06:00","49792","50422"
"14.08.2017 06:00 - 14.08.2017 06:15","53282","53479"
"14.08.2017 06:15 - 14.08.2017 06:30","55420","55230"
"14.08.2017 06:30 - 14.08.2017 06:45","57409","56916"
"14.08.2017 06:45 - 14.08.2017 07:00","58787","58551"
"14.08.2017 07:00 - 14.08.2017 07:15","61661","60814"
"14.08.2017 07:15 - 14.08.2017 07:30","62264","62175"
"14.08.2017 07:30 - 14.08.2017 07:45","63105","63618"
"14.08.2017 07:45 - 14.08.2017 08:00","65221","64659"
"14.08.2017 08:00 - 14.08.2017 08:15","66552","66178"
"14.08.2017 08:15 - 14.08.2017 08:30","67246","66971"
"14.08.2017 08:30 - 14.08.2017 08:45","67540","67758"
"14.08.2017 08:45 - 14.08.2017 09:00","67566","68481"
"14.08.2017 09:00 - 14.08.2017 09:15","67747","68454"
"14.08.2017 09:15 - 14.08.2017 09:30","68710","68879"
"14.08.2017 09:30 - 14.08.2017 09:45","69307","69501"
"14.08.2017 09:45 - 14.08.2017 10:00","69370","70132"
"14.08.2017 10:00 - 14.08.2017 10:15","70466","70515"
"14.08.2017 10:15 - 14.08.2017 10:30","71354","71039"
"14.08.2017 10:30 - 14.08.2017 10:45","71157","71389"
"14.08.2017 10:45 - 14.08.2017 11:00","71989","71730"
"14.08.2017 11:00 - 14.08.2017 11:15","72568","71869"
"14.08.2017 11:15 - 14.08.2017 11:30","72592","72213"
"14.08.2017 11:30 - 14.08.2017 11:45","72603","72752"
"14.08.2017 11:45 - 14.08.2017 12:00","72711","73026"
"14.08.2017 12:00 - 14.08.2017 12:15","71831","72526"
"14.08.2017 12:15 - 14.08.2017 12:30","71085","72239"
"14.08.2017 12:30 - 14.08.2017 12:45","71379","72298"
"14.08.2017 12:45 - 14.08.2017 13:00","70745","72079"
"14.08.2017 13:00 - 14.08.2017 13:15","71454","72209"
"14.08.2017 13:15 - 14.08.2017 13:30","70739","71971"
"14.08.2017 13:30 - 14.08.2017 13:45","70288","71462"
"14.08.2017 13:45 - 14.08.2017 14:00","70102","71069"
"14.08.2017 14:00 - 14.08.2017 14:15","69711","70680"
"14.08.2017 14:15 - 14.08.2017 14:30","69477","70191"
"14.08.2017 14:30 - 14.08.2017 14:45","68749","70386"
"14.08.2017 14:45 - 14.08.2017 15:00","68963","69931"
"14.08.2017 15:00 - 14.08.2017 15:15","68092","69839"
"14.08.2017 15:15 - 14.08.2017 15:30","68168","69195"
"14.08.2017 15:30 - 14.08.2017 15:45","67351","68838"
"14.08.2017 15:45 - 14.08.2017 16:00","67267","68219"
"14.08.2017 16:00 - 14.08.2017 16:15","65956","67667"
"14.08.2017 16:15 - 14.08.2017 16:30","65581","67312"
"14.08.2017 16:30 - 14.08.2017 16:45","64794","67210"
"14.08.2017 16:45 - 14.08.2017 17:00","65633","67085"
"14.08.2017 17:00 - 14.08.2017 17:15","65471","67056"
"14.08.2017 17:15 - 14.08.2017 17:30","64973","66894"
"14.08.2017 17:30 - 14.08.2017 17:45","64501","67052"
"14.08.2017 17:45 - 14.08.2017 18:00","64471","67250"
"14.08.2017 18:00 - 14.08.2017 18:15","64010","66693"
"14.08.2017 18:15 - 14.08.2017 18:30","63588","66403"
"14.08.2017 18:30 - 14.08.2017 18:45","63811","66587"
"14.08.2017 18:45 - 14.08.2017 19:00","64081","66432"
"14.08.2017 19:00 - 14.08.2017 19:15","63544","65887"
"14.08.2017 19:15 - 14.08.2017 19:30","63231","65566"
"14.08.2017 19:30 - 14.08.2017 19:45","62898","65361"
"14.08.2017 19:45 - 14.08.2017 20:00","63541","64922"
"14.08.2017 20:00 - 14.08.2017 20:15","62793","64284"
"14.08.2017 20:15 - 14.08.2017 20:30","61764","63566"
"14.08.2017 20:30 - 14.08.2017 20:45","61422","63128"
"14.08.2017 20:45 - 14.08.2017 21:00","60613","63191"
"14.08.2017 21:00 - 14.08.2017 21:15","60713","63160"
"14.08.2017 21:15 - 14.08.2017 21:30","60322","62809"
"14.08.2017 21:30 - 14.08.2017 21:45","60089","62089"
"14.08.2017 21:45 - 14.08.2017 22:00","58368","61014"
"14.08.2017 22:00 - 14.08.2017 22:15","57323","60541"
"14.08.2017 22:15 - 14.08.2017 22:30","56222","59370"
"14.08.2017 22:30 - 14.08.2017 22:45","55183","58042"
"14.08.2017 22:45 - 14.08.2017 23:00","54310","57031"
"14.08.2017 23:00 - 14.08.2017 23:15","53112","55914"
"14.08.2017 23:15 - 14.08.2017 23:30","52211","54473"
"14.08.2017 23:30 - 14.08.2017 23:45","51480","53279"
"14.08.2017 23:45 - 15.08.2017 00:00","50660","52799"
"15.08.2017 00:00 - 15.08.2017 00:15","50002","52243"
"15.08.2017 00:15 - 15.08.2017 00:30","49476","51308"
"15.08.2017 00:30 - 15.08.2017 00:45","48970","50683"
"15.08.2017 00:45 - 15.08.2017 01:00","48441","50188"
"15.08.2017 01:00 - 15.08.2017 01:15","47601","49606"
"15.08.2017 01:15 - 15.08.2017 01:30","47239","49068"
"15.08.2017 01:30 - 15.08.2017 01:45","46813","48678"
"15.08.2017 01:45 - 15.08.2017 02:00","46412","48411"
"15.08.2017 02:00 - 15.08.2017 02:15","46106","48065"
"15.08.2017 02:15 - 15.08.2017 02:30","45737","47898"
"15.08.2017 02:30 - 15.08.2017 02:45","45671","47535"
"15.08.2017 02:45 - 15.08.2017 03:00","45629","47788"
"15.08.2017 03:00 - 15.08.2017 03:15","45541","47649"
"15.08.2017 03:15 - 15.08.2017 03:30","45502","47383"
"15.08.2017 03:30 - 15.08.2017 03:45","45502","47581"
"15.08.2017 03:45 - 15.08.2017 04:00","45468","47492"
"15.08.2017 04:00 - 15.08.2017 04:15","45833","47675"
"15.08.2017 04:15 - 15.08.2017 04:30","45999","47902"
"15.08.2017 04:30 - 15.08.2017 04:45","46252","48274"
"15.08.2017 04:45 - 15.08.2017 05:00","46634","48687"
"15.08.2017 05:00 - 15.08.2017 05:15","47746","49942"
"15.08.2017 05:15 - 15.08.2017 05:30","48412","50661"
"15.08.2017 05:30 - 15.08.2017 05:45","49337","51677"
"15.08.2017 05:45 - 15.08.2017 06:00","50384","52341"
"15.08.2017 06:00 - 15.08.2017 06:15","52618","54709"
"15.08.2017 06:15 - 15.08.2017 06:30","54080","56105"
"15.08.2017 06:30 - 15.08.2017 06:45","55525","57462"
"15.08.2017 06:45 - 15.08.2017 07:00","56829","58711"
"15.08.2017 07:00 - 15.08.2017 07:15","58948","60567"
"15.08.2017 07:15 - 15.08.2017 07:30","59909","61703"
"15.08.2017 07:30 - 15.08.2017 07:45","61116","62684"
"15.08.2017 07:45 - 15.08.2017 08:00","62420","63744"
"15.08.2017 08:00 - 15.08.2017 08:15","63646","64982"
"15.08.2017 08:15 - 15.08.2017 08:30","64250","65813"
"15.08.2017 08:30 - 15.08.2017 08:45","64733","66490"
"15.08.2017 08:45 - 15.08.2017 09:00","64974","66925"
"15.08.2017 09:00 - 15.08.2017 09:15","65228","67566"
"15.08.2017 09:15 - 15.08.2017 09:30","65670","68104"
"15.08.2017 09:30 - 15.08.2017 09:45","66061","69000"
"15.08.2017 09:45 - 15.08.2017 10:00","66416","69531"
"15.08.2017 10:00 - 15.08.2017 10:15","66924","69781"
"15.08.2017 10:15 - 15.08.2017 10:30","67514","70071"
"15.08.2017 10:30 - 15.08.2017 10:45","68183","70628"
"15.08.2017 10:45 - 15.08.2017 11:00","68715","71055"
"15.08.2017 11:00 - 15.08.2017 11:15","69342","71424"
"15.08.2017 11:15 - 15.08.2017 11:30","69767","71958"
"15.08.2017 11:30 - 15.08.2017 11:45","70066","72509"
"15.08.2017 11:45 - 15.08.2017 12:00","69715","72304"
"15.08.2017 12:00 - 15.08.2017 12:15","69498","71740"
"15.08.2017 12:15 - 15.08.2017 12:30","69369","71339"
"15.08.2017 12:30 - 15.08.2017 12:45","69183","71019"
"15.08.2017 12:45 - 15.08.2017 13:00","69247","70804"
"15.08.2017 13:00 - 15.08.2017 13:15","68697","70644"
"15.08.2017 13:15 - 15.08.2017 13:30","68484","70122"
"15.08.2017 13:30 - 15.08.2017 13:45","68368","69631"
"15.08.2017 13:45 - 15.08.2017 14:00","67713","68941"
"15.08.2017 14:00 - 15.08.2017 14:15","67364","68552"
"15.08.2017 14:15 - 15.08.2017 14:30","66932","68331"
"15.08.2017 14:30 - 15.08.2017 14:45","66578","68525"
"15.08.2017 14:45 - 15.08.2017 15:00","66728","68384"
"15.08.2017 15:00 - 15.08.2017 15:15","66397","68491"
"15.08.2017 15:15 - 15.08.2017 15:30","65819","68209"
"15.08.2017 15:30 - 15.08.2017 15:45","65636","67683"
"15.08.2017 15:45 - 15.08.2017 16:00","64999","66995"
"15.08.2017 16:00 - 15.08.2017 16:15","64666","66480"
"15.08.2017 16:15 - 15.08.2017 16:30","64431","66380"
"15.08.2017 16:30 - 15.08.2017 16:45","63825","66070"
"15.08.2017 16:45 - 15.08.2017 17:00","63630","65881"
"15.08.2017 17:00 - 15.08.2017 17:15","63845","66478"
"15.08.2017 17:15 - 15.08.2017 17:30","63970","66531"
"15.08.2017 17:30 - 15.08.2017 17:45","63971","66718"
"15.08.2017 17:45 - 15.08.2017 18:00","64053","66764"
"15.08.2017 18:00 - 15.08.2017 18:15","63928","66075"
"15.08.2017 18:15 - 15.08.2017 18:30","63937","66081"
"15.08.2017 18:30 - 15.08.2017 18:45","64205","66233"
"15.08.2017 18:45 - 15.08.2017 19:00","64352","66207"
"15.08.2017 19:00 - 15.08.2017 19:15","64490","66007"
"15.08.2017 19:15 - 15.08.2017 19:30","64147","65608"
"15.08.2017 19:30 - 15.08.2017 19:45","63652","65069"
"15.08.2017 19:45 - 15.08.2017 20:00","63071","64735"
"15.08.2017 20:00 - 15.08.2017 20:15","62248","64506"
"15.08.2017 20:15 - 15.08.2017 20:30","61661","64033"
"15.08.2017 20:30 - 15.08.2017 20:45","61198","63808"
"15.08.2017 20:45 - 15.08.2017 21:00","60789","63786"
"15.08.2017 21:00 - 15.08.2017 21:15","60182","63316"
"15.08.2017 21:15 - 15.08.2017 21:30","59970","62822"
"15.08.2017 21:30 - 15.08.2017 21:45","59540","62136"
"15.08.2017 21:45 - 15.08.2017 22:00","58783","61034"
"15.08.2017 22:00 - 15.08.2017 22:15","58076","60140"
"15.08.2017 22:15 - 15.08.2017 22:30","57334","58845"
"15.08.2017 22:30 - 15.08.2017 22:45","56226","57645"
"15.08.2017 22:45 - 15.08.2017 23:00","55077","56637"
"15.08.2017 23:00 - 15.08.2017 23:15","53560","55272"
"15.08.2017 23:15 - 15.08.2017 23:30","52554","54078"
"15.08.2017 23:30 - 15.08.2017 23:45","51861","52973"
"15.08.2017 23:45 - 16.08.2017 00:00","51134","52309"
"16.08.2017 00:00 - 16.08.2017 00:15","50112","51718"
"16.08.2017 00:15 - 16.08.2017 00:30","49917","51270"
"16.08.2017 00:30 - 16.08.2017 00:45","49394","50500"
"16.08.2017 00:45 - 16.08.2017 01:00","48866","49707"
"16.08.2017 01:00 - 16.08.2017 01:15","48212","49101"
"16.08.2017 01:15 - 16.08.2017 01:30","47858","48583"
"16.08.2017 01:30 - 16.08.2017 01:45","47534","48426"
"16.08.2017 01:45 - 16.08.2017 02:00","47185","48153"
"16.08.2017 02:00 - 16.08.2017 02:15","46908","47821"
"16.08.2017 02:15 - 16.08.2017 02:30","46618","47462"
"16.08.2017 02:30 - 16.08.2017 02:45","46582","47439"
"16.08.2017 02:45 - 16.08.2017 03:00","46631","47594"
"16.08.2017 03:00 - 16.08.2017 03:15","46671","47859"
"16.08.2017 03:15 - 16.08.2017 03:30","46764","48025"
"16.08.2017 03:30 - 16.08.2017 03:45","46806","47957"
"16.08.2017 03:45 - 16.08.2017 04:00","46809","48014"
"16.08.2017 04:00 - 16.08.2017 04:15","47370","48289"
"16.08.2017 04:15 - 16.08.2017 04:30","47695","48633"
"16.08.2017 04:30 - 16.08.2017 04:45","48086","49160"
"16.08.2017 04:45 - 16.08.2017 05:00","48608","49942"
"16.08.2017 05:00 - 16.08.2017 05:15","50205","51773"
"16.08.2017 05:15 - 16.08.2017 05:30","50971","52828"
"16.08.2017 05:30 - 16.08.2017 05:45","52133","54046"
"16.08.2017 05:45 - 16.08.2017 06:00","53289","55371"
"16.08.2017 06:00 - 16.08.2017 06:15","56456","58368"
"16.08.2017 06:15 - 16.08.2017 06:30","58448","60278"
"16.08.2017 06:30 - 16.08.2017 06:45","60182","62003"
"16.08.2017 06:45 - 16.08.2017 07:00","61340","63748"
"16.08.2017 07:00 - 16.08.2017 07:15","63423","65892"
"16.08.2017 07:15 - 16.08.2017 07:30","64888","67213"
"16.08.2017 07:30 - 16.08.2017 07:45","65807","68329"
"16.08.2017 07:45 - 16.08.2017 08:00","66807","69584"
"16.08.2017 08:00 - 16.08.2017 08:15","68055","70942"
"16.08.2017 08:15 - 16.08.2017 08:30","68728","71555"
"16.08.2017 08:30 - 16.08.2017 08:45","69461","71878"
"16.08.2017 08:45 - 16.08.2017 09:00","69684","72090"
"16.08.2017 09:00 - 16.08.2017 09:15","69608","71943"
"16.08.2017 09:15 - 16.08.2017 09:30","69792","72472"
"16.08.2017 09:30 - 16.08.2017 09:45","70311","73126"
"16.08.2017 09:45 - 16.08.2017 10:00","70625","73522"
"16.08.2017 10:00 - 16.08.2017 10:15","70892","73864"
