"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.01.2017 16:30 - 02.01.2017 16:45","71130","77468"
"02.01.2017 16:45 - 02.01.2017 17:00","73491","78624"
"02.01.2017 17:00 - 02.01.2017 17:15","74109","79892"
"02.01.2017 17:15 - 02.01.2017 17:30","75363","80539"
"02.01.2017 17:30 - 02.01.2017 17:45","74862","80762"
"02.01.2017 17:45 - 02.01.2017 18:00","75380","80855"
"02.01.2017 18:00 - 02.01.2017 18:15","74807","80464"
"02.01.2017 18:15 - 02.01.2017 18:30","73994","80193"
"02.01.2017 18:30 - 02.01.2017 18:45","73845","80046"
"02.01.2017 18:45 - 02.01.2017 19:00","73148","79819"
"02.01.2017 19:00 - 02.01.2017 19:15","72318","79062"
"02.01.2017 19:15 - 02.01.2017 19:30","72547","78475"
"02.01.2017 19:30 - 02.01.2017 19:45","71149","78020"
"02.01.2017 19:45 - 02.01.2017 20:00","71304","77418"
"02.01.2017 20:00 - 02.01.2017 20:15","69876","75872"
"02.01.2017 20:15 - 02.01.2017 20:30","68680","74438"
"02.01.2017 20:30 - 02.01.2017 20:45","67296","73351"
"02.01.2017 20:45 - 02.01.2017 21:00","66598","72218"
"02.01.2017 21:00 - 02.01.2017 21:15","65875","71304"
"02.01.2017 21:15 - 02.01.2017 21:30","65429","70340"
"02.01.2017 21:30 - 02.01.2017 21:45","65466","69573"
"02.01.2017 21:45 - 02.01.2017 22:00","64246","69108"
"02.01.2017 22:00 - 02.01.2017 22:15","63626","69678"
"02.01.2017 22:15 - 02.01.2017 22:30","62358","68811"
"02.01.2017 22:30 - 02.01.2017 22:45","61225","67921"
"02.01.2017 22:45 - 02.01.2017 23:00","59235","66764"
"02.01.2017 23:00 - 02.01.2017 23:15","57216","65804"
"02.01.2017 23:15 - 02.01.2017 23:30","55987","64750"
"02.01.2017 23:30 - 02.01.2017 23:45","56009","63703"
"02.01.2017 23:45 - 03.01.2017 00:00","53118","62848"
"03.01.2017 00:00 - 03.01.2017 00:15","54932","62112"
"03.01.2017 00:15 - 03.01.2017 00:30","54477","61057"
"03.01.2017 00:30 - 03.01.2017 00:45","53891","60215"
"03.01.2017 00:45 - 03.01.2017 01:00","53318","59121"
"03.01.2017 01:00 - 03.01.2017 01:15","52612","58443"
"03.01.2017 01:15 - 03.01.2017 01:30","52210","57935"
"03.01.2017 01:30 - 03.01.2017 01:45","51797","57533"
"03.01.2017 01:45 - 03.01.2017 02:00","51387","57093"
"03.01.2017 02:00 - 03.01.2017 02:15","51290","56669"
"03.01.2017 02:15 - 03.01.2017 02:30","51174","56388"
"03.01.2017 02:30 - 03.01.2017 02:45","51135","56244"
"03.01.2017 02:45 - 03.01.2017 03:00","51175","56191"
"03.01.2017 03:00 - 03.01.2017 03:15","51246","56379"
"03.01.2017 03:15 - 03.01.2017 03:30","51270","56222"
"03.01.2017 03:30 - 03.01.2017 03:45","51131","56536"
"03.01.2017 03:45 - 03.01.2017 04:00","51135","56574"
"03.01.2017 04:00 - 03.01.2017 04:15","51808","56837"
"03.01.2017 04:15 - 03.01.2017 04:30","52311","57210"
"03.01.2017 04:30 - 03.01.2017 04:45","52574","57740"
"03.01.2017 04:45 - 03.01.2017 05:00","53190","58051"
"03.01.2017 05:00 - 03.01.2017 05:15","54363","59214"
"03.01.2017 05:15 - 03.01.2017 05:30","55144","59908"
"03.01.2017 05:30 - 03.01.2017 05:45","56023","60843"
"03.01.2017 05:45 - 03.01.2017 06:00","57268","62011"
"03.01.2017 06:00 - 03.01.2017 06:15","59446","64035"
"03.01.2017 06:15 - 03.01.2017 06:30","62031","65979"
"03.01.2017 06:30 - 03.01.2017 06:45","63535","67479"
"03.01.2017 06:45 - 03.01.2017 07:00","64712","69058"
"03.01.2017 07:00 - 03.01.2017 07:15","66832","71016"
"03.01.2017 07:15 - 03.01.2017 07:30","69275","72575"
"03.01.2017 07:30 - 03.01.2017 07:45","68557","74269"
"03.01.2017 07:45 - 03.01.2017 08:00","70023","75605"
"03.01.2017 08:00 - 03.01.2017 08:15","70625","76611"
"03.01.2017 08:15 - 03.01.2017 08:30","71498","77073"
"03.01.2017 08:30 - 03.01.2017 08:45","71460","77868"
